,NEIGHBOURHOOD_140,num_crimes
0,waterfront communitiesthe island,1474
1,churchyonge corridor,1382
2,west humberclairville,1142
3,bay street corridor,1102
4,moss park,925
5,kensingtonchinatown,847
6,york university heights,708
7,downsviewrodingcfb,701
8,woburn,633
9,nsa,623
10,islingtoncity centre west,610
11,mimico includes humber bay shores,606
12,west hill,597
13,annex,574
14,dovercourtwallace emersonjunction,523
15,south riverdale,486
16,glenfieldjane heights,472
17,malvern,470
18,clairleabirchmount,448
19,wexfordmaryvale,446
20,mount olivesilverstonejamestown,425
21,bendale,418
22,dorset park,398
23,willowdale east,395
24,rouge,371
25,yorkdaleglen park,368
26,niagara,356
27,south parkdale,353
28,kennedy park,341
29,humber summit,339
30,east enddanforth,338
31,lamoreaux,326
32,birchcliffecliffside,324
33,milliken,322
34,black creek,319
35,newtonbrook west,315
36,weston,306
37,north stjames town,303
38,agincourt southmalvern west,290
39,mount pleasant west,287
40,eglinton east,286
41,oakridge,280
42,rosedalemoore park,269
43,junction area,265
44,parkwoodsdonalda,264
45,don valley village,261
46,scarborough village,259
47,tam oshantersullivan,255
48,rockcliffesmythe,246
49,university,243
50,humbermede,242
51,agincourt north,240
52,cliffcrest,234
53,roncesvalles,233
54,high park north,230
55,cabbagetownsouth stjames town,219
56,regent park,218
57,kingsview villagethe westway,217
58,englemountlawrence,216
59,trinitybellwoods,216
60,willowridgemartingroverichview,213
61,brookhavenamesbury,207
62,bedford parknortown,206
63,greenwoodcoxwell,205
64,banburydon mills,204
65,oakwood village,202
66,danforth,199
67,taylormassey,197
68,flemingdon park,196
69,westminsterbranson,195
70,clanton park,195
71,oconnorparkview,194
72,stonegatequeensway,193
73,dufferin grove,192
74,the beaches,192
75,briar hillbelgravia,190
76,morningside,188
77,pelmo parkhumberlea,184
78,palmerstonlittle italy,183
79,standrewwindfields,182
80,newtonbrook east,181
81,rexdalekipling,180
82,little portugal,174
83,lansingwestgate,171
84,willowdale west,170
85,victoria village,170
86,corso italiadavenport,166
87,hillcrest village,166
88,new toronto,162
89,keelesdaleeglinton west,160
90,woodbine corridor,154
91,bathurst manor,153
92,high parkswansea,152
93,wychwood,150
94,westonpellam park,142
95,mount dennis,139
96,bayview village,139
97,thorncliffe park,139
98,steeles,131
99,danforth east york,130
100,yongeeglinton,130
101,thistletownbeaumond heights,125
102,leasidebennington,123
103,forest hill north,122
104,north riverdale,122
105,ionview,122
106,long branch,119
107,henry farm,118
108,blakejones,114
109,elmsold rexdale,112
110,rustic,110
111,humewoodcedarvale,109
112,eringatecentennialwest deane,109
113,highland creek,108
114,old east york,106
115,mount pleasant east,106
116,runnymedebloor west village,105
117,pleasant view,103
118,beechboroughgreenbrook,102
119,bridle pathsunnybrookyork mills,100
120,playter estatesdanforth,99
121,edenbridgehumber valley,97
122,casa loma,94
123,alderwood,91
124,forest hill south,88
125,caledoniafairbank,88
126,humber heightswestmount,87
127,bayview woodssteeles,86
128,lawrence park south,85
129,kingsway south,84
130,centennial scarborough,82
131,broadview north,80
132,lawrence park north,77
133,etobicoke west mall,76
134,guildwood,74
135,princessrosethorn,72
136,markland wood,72
137,woodbinelumsden,66
138,yongestclair,66
139,maple leaf,58
140,lambton baby point,56
