,NEIGHBOURHOOD_140,num_crimes
0,waterfront communitiesthe island,1151
1,churchyonge corridor,950
2,bay street corridor,910
3,west humberclairville,817
4,woburn,683
5,york university heights,667
6,moss park,652
7,kensingtonchinatown,617
8,downsviewrodingcfb,607
9,west hill,556
10,islingtoncity centre west,538
11,clairleabirchmount,468
12,mount olivesilverstonejamestown,453
13,annex,444
14,glenfieldjane heights,436
15,wexfordmaryvale,420
16,bendale,411
17,malvern,410
18,dovercourtwallace emersonjunction,382
19,south riverdale,382
20,niagara,365
21,kennedy park,359
22,nsa,353
23,black creek,349
24,mimico includes humber bay shores,342
25,dorset park,338
26,rouge,335
27,east enddanforth,333
28,eglinton east,332
29,south parkdale,324
30,lamoreaux,313
31,milliken,305
32,oakridge,303
33,willowdale east,293
34,weston,293
35,yorkdaleglen park,279
36,north stjames town,270
37,parkwoodsdonalda,267
38,birchcliffecliffside,265
39,university,262
40,rockcliffesmythe,259
41,don valley village,251
42,scarborough village,246
43,kingsview villagethe westway,240
44,oconnorparkview,231
45,high park north,228
46,humber summit,228
47,banburydon mills,225
48,humbermede,221
49,agincourt southmalvern west,220
50,tam oshantersullivan,218
51,taylormassey,216
52,greenwoodcoxwell,213
53,mount pleasant west,213
54,victoria village,207
55,brookhavenamesbury,205
56,high parkswansea,205
57,morningside,204
58,trinitybellwoods,201
59,flemingdon park,200
60,cabbagetownsouth stjames town,200
61,rosedalemoore park,200
62,cliffcrest,199
63,newtonbrook west,199
64,roncesvalles,196
65,westminsterbranson,195
66,oakwood village,195
67,agincourt north,194
68,ionview,190
69,the beaches,185
70,junction area,182
71,new toronto,182
72,danforth,180
73,regent park,174
74,englemountlawrence,172
75,standrewwindfields,172
76,bayview village,168
77,willowridgemartingroverichview,167
78,stonegatequeensway,165
79,palmerstonlittle italy,162
80,north riverdale,157
81,newtonbrook east,157
82,thorncliffe park,156
83,bedford parknortown,155
84,mount dennis,153
85,briar hillbelgravia,152
86,westonpelham park,151
87,dufferin grove,148
88,clanton park,148
89,little portugal,142
90,corso italiadavenport,142
91,lansingwestgate,134
92,wychwood,134
93,long branch,133
94,willowdale west,133
95,eringatecentennialwest deane,133
96,hillcrest village,130
97,highland creek,130
98,woodbine corridor,129
99,thistletownbeaumond heights,124
100,rustic,124
101,beechboroughgreenbrook,123
102,steeles,123
103,pelmo parkhumberlea,122
104,lawrence park south,115
105,yongeeglinton,112
106,bathurst manor,112
107,keelesdaleeglinton west,111
108,blakejones,109
109,playter estatesdanforth,109
110,etobicoke west mall,108
111,humewoodcedarvale,107
112,runnymedebloor west village,104
113,henry farm,104
114,danforth east york,104
115,rexdalekipling,101
116,leasidebennington,100
117,alderwood,100
118,elmsold rexdale,98
119,kingsway south,98
120,forest hill north,94
121,edenbridgehumber valley,94
122,lawrence park north,94
123,pleasant view,89
124,broadview north,88
125,humber heightswestmount,87
126,caledoniafairbank,86
127,bayview woodssteeles,84
128,bridle pathsunnybrookyork mills,79
129,old east york,78
130,princessrosethorn,74
131,woodbinelumsden,72
132,casa loma,71
133,guildwood,68
134,maple leaf,68
135,lambton baby point,68
136,mount pleasant east,61
137,centennial scarborough,60
138,yongestclair,54
139,markland wood,53
140,forest hill south,49
