,NEIGHBOURHOOD_140,num_crimes
0,waterfront communitiesthe island,1552
1,churchyonge corridor,1478
2,west humberclairville,957
3,moss park,919
4,bay street corridor,766
5,downsviewrodingcfb,755
6,york university heights,678
7,nsa,592
8,annex,583
9,kensingtonchinatown,569
10,woburn,556
11,islingtoncity centre west,555
12,west hill,512
13,mimico includes humber bay shores,502
14,glenfieldjane heights,482
15,dovercourtwallace emersonjunction,454
16,south riverdale,452
17,wexfordmaryvale,421
18,niagara,412
19,willowdale east,403
20,clairleabirchmount,373
21,mount pleasant west,369
22,bendale,368
23,malvern,367
24,mount olivesilverstonejamestown,364
25,yorkdaleglen park,360
26,south parkdale,356
27,newtonbrook west,355
28,north stjames town,338
29,humber summit,337
30,rouge,334
31,black creek,331
32,rosedalemoore park,329
33,east enddanforth,322
34,weston,318
35,kennedy park,289
36,lamoreaux,260
37,oakridge,259
38,agincourt southmalvern west,251
39,eglinton east,250
40,parkwoodsdonalda,249
41,dorset park,248
42,milliken,246
43,humbermede,238
44,regent park,237
45,clanton park,237
46,rockcliffesmythe,235
47,birchcliffecliffside,229
48,don valley village,225
49,trinitybellwoods,223
50,brookhavenamesbury,220
51,kingsview villagethe westway,219
52,cabbagetownsouth stjames town,218
53,tam oshantersullivan,214
54,oconnorparkview,212
55,roncesvalles,211
56,stonegatequeensway,202
57,junction area,200
58,westminsterbranson,193
59,scarborough village,190
60,thorncliffe park,190
61,the beaches,190
62,bedford parknortown,189
63,leasidebennington,185
64,oakwood village,184
65,lansingwestgate,183
66,flemingdon park,183
67,newtonbrook east,183
68,corso italiadavenport,181
69,danforth,177
70,greenwoodcoxwell,176
71,high park north,173
72,victoria village,167
73,willowdale west,165
74,taylormassey,165
75,cliffcrest,163
76,briar hillbelgravia,163
77,new toronto,163
78,little portugal,161
79,henry farm,160
80,standrewwindfields,158
81,mount dennis,156
82,long branch,156
83,englemountlawrence,155
84,banburydon mills,153
85,bayview village,153
86,university,150
87,willowridgemartingroverichview,147
88,pelmo parkhumberlea,146
89,high parkswansea,144
90,agincourt north,143
91,morningside,140
92,mount pleasant east,139
93,keelesdaleeglinton west,137
94,dufferin grove,136
95,westonpelham park,133
96,elmsold rexdale,131
97,rexdalekipling,130
98,lawrence park south,130
99,woodbine corridor,129
100,bathurst manor,127
101,ionview,126
102,eringatecentennialwest deane,124
103,yongeeglinton,123
104,hillcrest village,121
105,playter estatesdanforth,121
106,lawrence park north,119
107,forest hill south,119
108,palmerstonlittle italy,118
109,steeles,118
110,thistletownbeaumond heights,116
111,north riverdale,112
112,humewoodcedarvale,109
113,wychwood,108
114,bridle pathsunnybrookyork mills,107
115,danforth east york,106
116,rustic,104
117,casa loma,101
118,yongestclair,96
119,forest hill north,94
120,blakejones,94
121,broadview north,93
122,caledoniafairbank,92
123,beechboroughgreenbrook,91
124,kingsway south,90
125,alderwood,86
126,edenbridgehumber valley,86
127,old east york,81
128,etobicoke west mall,80
129,highland creek,77
130,humber heightswestmount,75
131,runnymedebloor west village,72
132,centennial scarborough,68
133,pleasant view,68
134,bayview woodssteeles,67
135,markland wood,67
136,maple leaf,62
137,princessrosethorn,59
138,guildwood,54
139,woodbinelumsden,53
140,lambton baby point,52
