,NEIGHBOURHOOD_140,num_crimes
0,waterfront communitiesthe island,1268
1,churchyonge corridor,1013
2,bay street corridor,884
3,west humberclairville,869
4,moss park,733
5,york university heights,682
6,west hill,594
7,kensingtonchinatown,586
8,downsviewrodingcfb,566
9,woburn,559
10,nsa,547
11,islingtoncity centre west,533
12,annex,500
13,south riverdale,473
14,glenfieldjane heights,468
15,malvern,461
16,mount olivesilverstonejamestown,460
17,clairleabirchmount,440
18,bendale,437
19,dovercourtwallace emersonjunction,432
20,black creek,413
21,dorset park,382
22,wexfordmaryvale,367
23,mimico includes humber bay shores,353
24,south parkdale,351
25,eglinton east,345
26,willowdale east,336
27,yorkdaleglen park,335
28,niagara,333
29,east enddanforth,327
30,birchcliffecliffside,321
31,weston,316
32,lamoreaux,311
33,kennedy park,302
34,rouge,292
35,parkwoodsdonalda,285
36,rockcliffesmythe,278
37,humber summit,276
38,newtonbrook west,273
39,don valley village,267
40,scarborough village,265
41,agincourt southmalvern west,262
42,willowridgemartingroverichview,252
43,oakridge,251
44,englemountlawrence,247
45,north stjames town,240
46,kingsview villagethe westway,239
47,milliken,236
48,university,236
49,roncesvalles,230
50,trinitybellwoods,228
51,cabbagetownsouth stjames town,228
52,tam oshantersullivan,217
53,oakwood village,215
54,cliffcrest,210
55,rosedalemoore park,208
56,morningside,207
57,brookhavenamesbury,205
58,flemingdon park,205
59,oconnorparkview,202
60,humbermede,200
61,mount dennis,197
62,bedford parknortown,196
63,greenwoodcoxwell,195
64,the beaches,187
65,mount pleasant west,183
66,regent park,181
67,victoria village,178
68,junction area,177
69,banburydon mills,177
70,little portugal,177
71,high park north,174
72,new toronto,174
73,taylormassey,170
74,agincourt north,169
75,westminsterbranson,166
76,briar hillbelgravia,165
77,newtonbrook east,164
78,woodbine corridor,161
79,stonegatequeensway,157
80,clanton park,156
81,palmerstonlittle italy,155
82,standrewwindfields,153
83,danforth,149
84,high parkswansea,149
85,westonpelham park,148
86,bathurst manor,147
87,bayview village,144
88,thorncliffe park,144
89,willowdale west,143
90,lansingwestgate,142
91,steeles,141
92,ionview,141
93,dufferin grove,140
94,wychwood,136
95,eringatecentennialwest deane,136
96,north riverdale,135
97,rexdalekipling,129
98,corso italiadavenport,127
99,highland creek,126
100,rustic,124
101,pelmo parkhumberlea,122
102,hillcrest village,117
103,playter estatesdanforth,117
104,elmsold rexdale,116
105,princessrosethorn,115
106,beechboroughgreenbrook,111
107,long branch,109
108,edenbridgehumber valley,108
109,humewoodcedarvale,107
110,pleasant view,106
111,danforth east york,105
112,blakejones,104
113,thistletownbeaumond heights,103
114,alderwood,103
115,yongeeglinton,99
116,caledoniafairbank,98
117,henry farm,97
118,keelesdaleeglinton west,97
119,bayview woodssteeles,91
120,old east york,90
121,broadview north,89
122,lawrence park south,88
123,humber heightswestmount,88
124,bridle pathsunnybrookyork mills,87
125,runnymedebloor west village,86
126,etobicoke west mall,84
127,maple leaf,84
128,centennial scarborough,83
129,leasidebennington,82
130,kingsway south,80
131,casa loma,74
132,guildwood,74
133,lawrence park north,73
134,markland wood,70
135,yongestclair,67
136,forest hill north,63
137,woodbinelumsden,62
138,forest hill south,56
139,mount pleasant east,46
140,lambton baby point,39
