,neighbourhood,num_crimes
0,agincourt north,566
1,agincourt southmalvern west,1002
2,alderwood,373
3,annex,1984
4,banburydon mills,802
5,bathurst manor,525
6,bay street corridor,2705
7,bayview village,691
8,bayview woodssteeles,260
9,bedford parknortown,907
10,beechboroughgreenbrook,342
11,bendale,1390
12,birchcliffecliffside,805
13,black creek,1075
14,blakejones,311
15,briar hillbelgravia,564
16,bridle pathsunnybrookyork mills,486
17,broadview north,308
18,brookhavenamesbury,761
19,cabbagetownsouth st james town,681
20,caledoniafairbank,295
21,casa loma,382
22,centennial scarborough,264
23,churchyonge corridor,4233
24,clairleabirchmount,1252
25,clanton park,950
26,cliffcrest,644
27,corso italiadavenport,617
28,danforth,624
29,danforth east york,428
30,don valley village,870
31,dorset park,1030
32,dovercourtwallace emersonjunction,1451
33,downsviewrodingcfb,2750
34,dufferin grove,515
35,east enddanforth,1009
36,edenbridgehumber valley,471
37,eglinton east,834
38,elmsold rexdale,407
39,englemountlawrence,582
40,eringatecentennialwest deane,552
41,etobicoke west mall,334
42,flemingdon park,603
43,forest hill north,371
44,forest hill south,479
45,glenfieldjane heights,1504
46,greenwoodcoxwell,565
47,guildwood,204
48,henry farm,552
49,high park north,705
50,high parkswansea,602
51,highland creek,326
52,hillcrest village,446
53,humber heightswestmount,248
54,humber summit,1196
55,humbermede,844
56,humewoodcedarvale,385
57,ionview,409
58,islingtoncity centre west,2528
59,junction area,722
60,keelesdaleeglinton west,479
61,kennedy park,1056
62,kensingtonchinatown,1936
63,kingsview villagethe westway,828
64,kingsway south,422
65,lambton baby point,208
66,lamoreaux,981
67,lansingwestgate,665
68,lawrence park north,430
69,lawrence park south,525
70,leasidebennington,555
71,little portugal,543
72,long branch,484
73,malvern,1158
74,maple leaf,309
75,markland wood,269
76,milliken,1046
77,mimico includes humber bay shores,2117
78,morningside,520
79,moss park,2607
80,mount dennis,560
81,mount olivesilverstonejamestown,1350
82,mount pleasant east,449
83,mount pleasant west,1078
84,new toronto,674
85,newtonbrook east,616
86,newtonbrook west,1325
87,niagara,1225
88,north riverdale,405
89,north st james town,993
90,nsa,1768
91,oakridge,785
92,oakwood village,667
93,oconnorparkview,700
94,old east york,303
95,palmerstonlittle italy,436
96,parkwoodsdonalda,923
97,pelmo parkhumberlea,602
98,playter estatesdanforth,464
99,pleasant view,285
100,princessrosethorn,380
101,regent park,652
102,rexdalekipling,476
103,rockcliffesmythe,848
104,roncesvalles,657
105,rosedalemoore park,1320
106,rouge,1345
107,runnymedebloor west village,329
108,rustic,384
109,scarborough village,651
110,south parkdale,1185
111,south riverdale,1564
112,standrewwindfields,681
113,steeles,389
114,stonegatequeensway,907
115,tam oshantersullivan,767
116,taylormassey,543
117,the beaches,666
118,thistletownbeaumond heights,417
119,thorncliffe park,647
120,trinitybellwoods,769
121,university,541
122,victoria village,612
123,waterfront communitiesthe island,4988
124,west hill,1699
125,west humberclairville,3732
126,westminsterbranson,654
127,weston,1162
128,westonpelham park,470
129,wexfordmaryvale,1464
130,willowdale east,1314
131,willowdale west,619
132,willowridgemartingroverichview,665
133,woburn,1909
134,woodbine corridor,452
135,woodbinelumsden,189
136,wychwood,441
137,yongeeglinton,520
138,yongestclair,316
139,york university heights,2487
140,yorkdaleglen park,1532
