,NEIGHBOURHOOD_140,num_crimes
0,waterfront communitiesthe island,1336
1,churchyonge corridor,1294
2,moss park,1155
3,west humberclairville,880
4,bay street corridor,847
5,york university heights,748
6,kensingtonchinatown,720
7,downsviewrodingcfb,694
8,annex,601
9,nsa,587
10,woburn,584
11,dovercourtwallace emersonjunction,553
12,islingtoncity centre west,544
13,glenfieldjane heights,513
14,west hill,486
15,south riverdale,455
16,mimico includes humber bay shores,421
17,black creek,398
18,wexfordmaryvale,384
19,mount pleasant west,380
20,south parkdale,379
21,yorkdaleglen park,371
22,malvern,365
23,niagara,365
24,north st james town,359
25,weston,355
26,willowdale east,352
27,rosedalemoore park,345
28,mount olivesilverstonejamestown,339
29,clairleabirchmount,332
30,bendale,317
31,agincourt southmalvern west,305
32,rouge,300
33,lamoreaux,299
34,dorset park,297
35,humber summit,292
36,newtonbrook west,287
37,kennedy park,274
38,east enddanforth,267
39,rockcliffesmythe,258
40,milliken,256
41,parkwoodsdonalda,256
42,oakridge,252
43,scarborough village,248
44,eglinton east,241
45,cabbagetownsouth st james town,239
46,birchcliffecliffside,238
47,trinitybellwoods,237
48,tam oshantersullivan,236
49,roncesvalles,225
50,bedford parknortown,224
51,humbermede,224
52,greenwoodcoxwell,221
53,stonegatequeensway,212
54,regent park,210
55,willowridgemartingroverichview,206
56,junction area,206
57,brookhavenamesbury,204
58,oakwood village,203
59,lansingwestgate,201
60,cliffcrest,200
61,englemountlawrence,196
62,don valley village,192
63,oconnorparkview,190
64,willowdale west,188
65,the beaches,187
66,taylormassey,187
67,high parkswansea,185
68,briar hillbelgravia,185
69,kingsview villagethe westway,184
70,banburydon mills,182
71,clanton park,177
72,wychwood,176
73,newtonbrook east,176
74,little portugal,176
75,victoria village,176
76,westminsterbranson,175
77,dufferin grove,172
78,agincourt north,171
79,morningside,167
80,flemingdon park,167
81,university,165
82,new toronto,165
83,high park north,164
84,yongeeglinton,162
85,westonpelham park,159
86,thorncliffe park,158
87,bayview village,154
88,corso italiadavenport,153
89,standrewwindfields,148
90,bathurst manor,147
91,forest hill north,146
92,henry farm,146
93,pelmo parkhumberlea,145
94,long branch,141
95,playter estatesdanforth,139
96,mount dennis,137
97,keelesdaleeglinton west,137
98,casa loma,135
99,danforth,135
100,lawrence park south,134
101,eringatecentennialwest deane,130
102,humewoodcedarvale,129
103,leasidebennington,128
104,rexdalekipling,127
105,palmerstonlittle italy,127
106,thistletownbeaumond heights,126
107,alderwood,121
108,woodbine corridor,120
109,hillcrest village,120
110,danforth east york,118
111,mount pleasant east,117
112,elmsold rexdale,116
113,rustic,114
114,pleasant view,109
115,edenbridgehumber valley,108
116,ionview,107
117,forest hill south,107
118,markland wood,105
119,bridle pathsunnybrookyork mills,103
120,etobicoke west mall,103
121,lawrence park north,102
122,steeles,101
123,blakejones,99
124,broadview north,97
125,north riverdale,97
126,runnymedebloor west village,90
127,bayview woodssteeles,86
128,caledoniafairbank,79
129,beechboroughgreenbrook,78
130,yongestclair,69
131,princessrosethorn,69
132,centennial scarborough,69
133,highland creek,67
134,old east york,62
135,maple leaf,62
136,humber heightswestmount,61
137,kingsway south,56
138,guildwood,55
139,lambton baby point,54
140,woodbinelumsden,52
