,NEIGHBOURHOOD_140,num_crimes
0,waterfront communitiesthe island,1043
1,churchyonge corridor,914
2,west humberclairville,883
3,bay street corridor,747
4,moss park,658
5,woburn,627
6,downsviewrodingcfb,600
7,york university heights,580
8,kensingtonchinatown,573
9,nsa,532
10,west hill,530
11,islingtoncity centre west,515
12,clairleabirchmount,478
13,annex,476
14,wexfordmaryvale,457
15,glenfieldjane heights,415
16,bendale,414
17,mount olivesilverstonejamestown,406
18,dovercourtwallace emersonjunction,405
19,south riverdale,388
20,kennedy park,361
21,black creek,353
22,rouge,353
23,malvern,350
24,niagara,347
25,eglinton east,325
26,east enddanforth,322
27,mimico includes humber bay shores,318
28,dorset park,313
29,oakridge,309
30,weston,301
31,don valley village,298
32,willowdale east,287
33,oconnorparkview,287
34,newtonbrook west,277
35,university,276
36,north stjames town,270
37,lamoreaux,270
38,yorkdaleglen park,269
39,parkwoodsdonalda,268
40,milliken,265
41,scarborough village,263
42,rockcliffesmythe,262
43,south parkdale,259
44,agincourt southmalvern west,259
45,humber summit,251
46,birchcliffecliffside,241
47,trinitybellwoods,230
48,flemingdon park,228
49,stonegatequeensway,222
50,humbermede,212
51,kingsview villagethe westway,211
52,clanton park,210
53,bedford parknortown,208
54,rosedalemoore park,205
55,tam oshantersullivan,204
56,greenwoodcoxwell,203
57,willowridgemartingroverichview,200
58,taylormassey,194
59,morningside,193
60,mount pleasant west,192
61,westminsterbranson,189
62,palmerstonlittle italy,188
63,englemountlawrence,184
64,junction area,183
65,cabbagetownsouth stjames town,182
66,standrewwindfields,181
67,roncesvalles,180
68,brookhavenamesbury,180
69,oakwood village,179
70,agincourt north,179
71,briar hillbelgravia,179
72,regent park,176
73,cliffcrest,176
74,victoria village,175
75,mount dennis,172
76,high parkswansea,165
77,ionview,164
78,banburydon mills,163
79,danforth,162
80,bayview village,161
81,dufferin grove,160
82,the beaches,160
83,westonpelham park,157
84,thorncliffe park,157
85,hillcrest village,145
86,high park north,144
87,little portugal,144
88,eringatecentennialwest deane,144
89,newtonbrook east,143
90,keelesdaleeglinton west,141
91,corso italiadavenport,139
92,new toronto,138
93,steeles,137
94,bathurst manor,134
95,pelmo parkhumberlea,133
96,woodbine corridor,132
97,willowdale west,130
98,highland creek,127
99,north riverdale,121
100,beechboroughgreenbrook,116
101,playter estatesdanforth,115
102,thistletownbeaumond heights,114
103,long branch,114
104,henry farm,114
105,yongeeglinton,114
106,danforth east york,110
107,blakejones,108
108,wychwood,107
109,lansingwestgate,106
110,leasidebennington,106
111,edenbridgehumber valley,106
112,caledoniafairbank,105
113,lawrence park south,105
114,rustic,104
115,princessrosethorn,100
116,forest hill north,98
117,rexdalekipling,98
118,old east york,95
119,etobicoke west mall,94
120,markland wood,94
121,woodbinelumsden,92
122,alderwood,90
123,kingsway south,89
124,lawrence park north,88
125,centennial scarborough,84
126,bayview woodssteeles,84
127,humewoodcedarvale,84
128,humber heightswestmount,83
129,guildwood,82
130,forest hill south,81
131,runnymedebloor west village,81
132,elmsold rexdale,75
133,casa loma,75
134,broadview north,74
135,mount pleasant east,73
136,pleasant view,69
137,bridle pathsunnybrookyork mills,69
138,yongestclair,62
139,lambton baby point,56
140,maple leaf,52
