,NEIGHBOURHOOD_140,num_crimes
0,churchyonge corridor,1538
1,waterfront communitiesthe island,1428
2,bay street corridor,1246
3,moss park,1086
4,west humberclairville,1012
5,nsa,935
6,kensingtonchinatown,809
7,downsviewrodingcfb,773
8,york university heights,746
9,woburn,673
10,west hill,646
11,annex,638
12,islingtoncity centre west,588
13,dovercourtwallace emersonjunction,586
14,malvern,516
15,mimico includes humber bay shores,513
16,glenfieldjane heights,505
17,south riverdale,477
18,wexfordmaryvale,469
19,mount olivesilverstonejamestown,464
20,clairleabirchmount,459
21,niagara,441
22,bendale,435
23,yorkdaleglen park,432
24,willowdale east,412
25,lamoreaux,394
26,black creek,393
27,south parkdale,393
28,rouge,383
29,humber summit,373
30,milliken,368
31,north stjames town,364
32,weston,330
33,birchcliffecliffside,330
34,dorset park,324
35,eglinton east,319
36,rosedalemoore park,316
37,mount pleasant west,313
38,kennedy park,313
39,agincourt southmalvern west,311
40,newtonbrook west,311
41,humbermede,310
42,east enddanforth,303
43,cabbagetownsouth stjames town,299
44,regent park,296
45,parkwoodsdonalda,290
46,oakwood village,280
47,trinitybellwoods,276
48,roncesvalles,271
49,scarborough village,269
50,oakridge,262
51,university,259
52,oconnorparkview,251
53,rockcliffesmythe,247
54,bedford parknortown,242
55,don valley village,242
56,tam oshantersullivan,234
57,cliffcrest,234
58,banburydon mills,225
59,morningside,222
60,brookhavenamesbury,220
61,agincourt north,220
62,willowridgemartingroverichview,219
63,stonegatequeensway,216
64,victoria village,216
65,greenwoodcoxwell,214
66,standrewwindfields,213
67,high park north,213
68,high parkswansea,205
69,taylormassey,205
70,briar hillbelgravia,197
71,junction area,197
72,clanton park,196
73,pelmo parkhumberlea,193
74,newtonbrook east,192
75,thorncliffe park,190
76,corso italiadavenport,189
77,englemountlawrence,188
78,flemingdon park,185
79,westminsterbranson,183
80,kingsview villagethe westway,183
81,palmerstonlittle italy,177
82,the beaches,176
83,bayview village,176
84,willowdale west,175
85,new toronto,175
86,little portugal,170
87,danforth,169
88,yongeeglinton,164
89,henry farm,163
90,hillcrest village,159
91,north riverdale,159
92,dufferin grove,158
93,thistletownbeaumond heights,155
94,playter estatesdanforth,154
95,steeles,154
96,mount dennis,153
97,westonpelham park,153
98,lansingwestgate,152
99,woodbine corridor,150
100,rexdalekipling,145
101,mount pleasant east,138
102,highland creek,138
103,wychwood,135
104,long branch,133
105,lawrence park south,133
106,elmsold rexdale,133
107,forest hill north,132
108,danforth east york,129
109,rustic,129
110,bathurst manor,128
111,runnymedebloor west village,127
112,ionview,125
113,keelesdaleeglinton west,124
114,bridle pathsunnybrookyork mills,123
115,edenbridgehumber valley,123
116,eringatecentennialwest deane,121
117,leasidebennington,116
118,beechboroughgreenbrook,113
119,broadview north,112
120,princessrosethorn,111
121,centennial scarborough,107
122,blakejones,106
123,forest hill south,105
124,caledoniafairbank,102
125,kingsway south,102
126,humewoodcedarvale,102
127,casa loma,101
128,pleasant view,98
129,bayview woodssteeles,92
130,alderwood,90
131,humber heightswestmount,89
132,lawrence park north,87
133,etobicoke west mall,82
134,old east york,78
135,maple leaf,78
136,yongestclair,75
137,markland wood,66
138,woodbinelumsden,62
139,lambton baby point,58
140,guildwood,50
