,NEIGHBOURHOOD_140,num_crimes
0,waterfront communitiesthe island,1701
1,churchyonge corridor,1329
2,west humberclairville,1294
3,bay street corridor,890
4,downsviewrodingcfb,863
5,islingtoncity centre west,833
6,moss park,807
7,york university heights,802
8,nsa,712
9,mimico includes humber bay shores,705
10,woburn,682
11,annex,676
12,kensingtonchinatown,622
13,west hill,554
14,south riverdale,540
15,yorkdaleglen park,504
16,glenfieldjane heights,499
17,wexfordmaryvale,473
18,mount olivesilverstonejamestown,472
19,newtonbrook west,472
20,rouge,455
21,dovercourtwallace emersonjunction,444
22,rosedalemoore park,438
23,humber summit,420
24,bendale,417
25,weston,416
26,clairleabirchmount,409
27,niagara,403
28,willowdale east,395
29,south parkdale,380
30,black creek,379
31,malvern,375
32,mount pleasant west,374
33,east enddanforth,373
34,dorset park,371
35,agincourt southmalvern west,355
36,clanton park,345
37,kennedy park,345
38,lamoreaux,324
39,north st james town,303
40,stonegatequeensway,299
41,bedford parknortown,296
42,rockcliffesmythe,292
43,parkwoodsdonalda,292
44,humbermede,289
45,kingsview villagethe westway,288
46,eglinton east,286
47,milliken,282
48,trinitybellwoods,278
49,oakwood village,272
50,tam oshantersullivan,256
51,birchcliffecliffside,255
52,oconnorparkview,254
53,new toronto,253
54,junction area,252
55,don valley village,250
56,oakridge,249
57,banburydon mills,247
58,cabbagetownsouth st james town,244
59,brookhavenamesbury,243
60,the beaches,243
61,willowridgemartingroverichview,243
62,danforth,239
63,high park north,237
64,high parkswansea,235
65,westminsterbranson,226
66,bayview village,223
67,willowdale west,219
68,thorncliffe park,219
69,standrewwindfields,219
70,pelmo parkhumberlea,217
71,greenwoodcoxwell,213
72,victoria village,213
73,cliffcrest,210
74,roncesvalles,209
75,scarborough village,208
76,briar hillbelgravia,206
77,newtonbrook east,205
78,yongeeglinton,198
79,morningside,195
80,lansingwestgate,194
81,mount dennis,193
82,corso italiadavenport,189
83,flemingdon park,186
84,bathurst manor,182
85,university,182
86,little portugal,181
87,eringatecentennialwest deane,181
88,henry farm,180
89,regent park,179
90,lawrence park south,173
91,playter estatesdanforth,171
92,taylormassey,170
93,englemountlawrence,166
94,long branch,165
95,alderwood,165
96,palmerstonlittle italy,163
97,agincourt north,162
98,westonpelham park,162
99,woodbine corridor,162
100,leasidebennington,158
101,rexdalekipling,156
102,lawrence park north,154
103,wychwood,154
104,danforth east york,153
105,keelesdaleeglinton west,150
106,elmsold rexdale,149
107,forest hill south,149
108,mount pleasant east,147
109,edenbridgehumber valley,147
110,bridle pathsunnybrookyork mills,147
111,north riverdale,146
112,thistletownbeaumond heights,146
113,dufferin grove,144
114,rustic,137
115,humewoodcedarvale,130
116,maple leaf,128
117,steeles,127
118,hillcrest village,124
119,casa loma,123
120,old east york,118
121,forest hill north,117
122,ionview,115
123,etobicoke west mall,112
124,highland creek,111
125,kingsway south,110
126,runnymedebloor west village,108
127,yongestclair,107
128,princessrosethorn,102
129,broadview north,100
130,beechboroughgreenbrook,100
131,caledoniafairbank,93
132,blakejones,92
133,markland wood,91
134,pleasant view,90
135,centennial scarborough,88
136,lambton baby point,86
137,humber heightswestmount,80
138,woodbinelumsden,75
139,bayview woodssteeles,64
140,guildwood,60
