,NEIGHBOURHOOD_140,num_crimes
0,waterfront communitiesthe island,1365
1,churchyonge corridor,1219
2,bay street corridor,1121
3,west humberclairville,938
4,moss park,721
5,woburn,706
6,kensingtonchinatown,697
7,york university heights,672
8,downsviewrodingcfb,656
9,nsa,613
10,west hill,603
11,annex,519
12,islingtoncity centre west,509
13,mimico includes humber bay shores,483
14,dovercourtwallace emersonjunction,475
15,bendale,470
16,malvern,464
17,clairleabirchmount,450
18,south riverdale,450
19,mount olivesilverstonejamestown,431
20,wexfordmaryvale,426
21,glenfieldjane heights,424
22,black creek,383
23,dorset park,379
24,rouge,356
25,willowdale east,352
26,weston,348
27,niagara,348
28,eglinton east,345
29,lamoreaux,338
30,parkwoodsdonalda,338
31,kennedy park,335
32,south parkdale,329
33,yorkdaleglen park,329
34,east enddanforth,316
35,milliken,303
36,humber summit,295
37,newtonbrook west,294
38,oakridge,293
39,agincourt southmalvern west,285
40,birchcliffecliffside,282
41,humbermede,276
42,university,267
43,north stjames town,262
44,rockcliffesmythe,257
45,trinitybellwoods,256
46,bedford parknortown,248
47,roncesvalles,243
48,rosedalemoore park,236
49,scarborough village,235
50,tam oshantersullivan,231
51,mount pleasant west,224
52,the beaches,221
53,don valley village,221
54,cabbagetownsouth stjames town,217
55,englemountlawrence,216
56,high park north,215
57,stonegatequeensway,215
58,cliffcrest,214
59,willowridgemartingroverichview,212
60,morningside,208
61,brookhavenamesbury,206
62,kingsview villagethe westway,204
63,banburydon mills,203
64,oconnorparkview,200
65,oakwood village,199
66,agincourt north,189
67,newtonbrook east,189
68,junction area,187
69,regent park,186
70,lansingwestgate,184
71,flemingdon park,182
72,westminsterbranson,181
73,corso italiadavenport,175
74,mount dennis,174
75,new toronto,171
76,high parkswansea,169
77,little portugal,164
78,pelmo parkhumberlea,164
79,rexdalekipling,163
80,clanton park,161
81,taylormassey,161
82,standrewwindfields,157
83,danforth,154
84,greenwoodcoxwell,154
85,briar hillbelgravia,152
86,palmerstonlittle italy,149
87,victoria village,148
88,thorncliffe park,147
89,ionview,146
90,woodbine corridor,140
91,willowdale west,139
92,hillcrest village,137
93,bayview village,135
94,henry farm,135
95,highland creek,132
96,bathurst manor,131
97,keelesdaleeglinton west,129
98,thistletownbeaumond heights,128
99,eringatecentennialwest deane,128
100,steeles,128
101,north riverdale,126
102,dufferin grove,125
103,wychwood,124
104,long branch,124
105,danforth east york,119
106,humewoodcedarvale,117
107,forest hill south,114
108,forest hill north,113
109,westonpelham park,111
110,elmsold rexdale,111
111,beechboroughgreenbrook,108
112,humber heightswestmount,107
113,lawrence park north,107
114,yongeeglinton,105
115,bayview woodssteeles,103
116,playter estatesdanforth,102
117,blakejones,101
118,edenbridgehumber valley,100
119,kingsway south,99
120,rustic,98
121,bridle pathsunnybrookyork mills,98
122,centennial scarborough,94
123,runnymedebloor west village,93
124,lawrence park south,92
125,caledoniafairbank,92
126,broadview north,89
127,leasidebennington,87
128,casa loma,87
129,mount pleasant east,86
130,pleasant view,83
131,princessrosethorn,79
132,etobicoke west mall,78
133,alderwood,75
134,guildwood,73
135,old east york,70
136,markland wood,59
137,woodbinelumsden,53
138,yongestclair,47
139,maple leaf,42
140,lambton baby point,41
