id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
876787206106701440,Rental unit in Camprodon · ★5.0 · 2 bedrooms · 3 beds · 1 bath,75464766,Ariadna,,Camprodon,42.31254,2.3661,Entire home/apt,138,2,8,2023-10-14,1.39,1,357,8,HUTG-070035
876904135356647281,Rental unit in Sant Feliu de Guíxols · 2 bedrooms · 3 beds · 1 bath,263070006,Karina,,Sant Feliu de Guíxols,41.78651,3.04289,Entire home/apt,140,5,0,,,1,321,0,HUTG-002796
879470405416277785,Rental unit in Roses · 2 bedrooms · 4 beds · 1 bath,120045637,Rita,,Roses,42.26639,3.15911,Entire home/apt,40,1,1,2023-09-16,0.28,75,147,1,HUTB-066859
876967440048690870,Rental unit in Platja d'Aro · 1 bedroom · 1 bed · 1 bath,133058806,Poplidays,,Castell-Platja d'Aro,41.809315,3.065387,Entire home/apt,93,1,0,,,23,364,0,HUTG-062672
873580656689284681,Rental unit in Begur · ★4.17 · 2 bedrooms · 4 beds · 1 bath,26281633,Immobiliària Comangau,,Begur,41.9553412,3.2067898,Entire home/apt,88,1,6,2023-10-29,0.96,30,1,6,HUTG-001224
879514145771015287,Rental unit in L'Escala · 3 bedrooms · 3 beds · 2 baths,113497406,Sabrina - Interhome Group,,L'Escala,42.115219,3.145467,Entire home/apt,124,1,1,2023-09-13,0.28,88,168,1,HUTG-007021
873626579107292535,Home in Port Lligat · ★5.0 · 3 bedrooms · 4 beds · 3.5 baths,5261900,Victoria,,Cadaqués,42.295810584565736,3.2909517566223245,Entire home/apt,923,3,5,2023-11-05,0.89,6,335,5,HUTG-064431
877202133656919254,Rental unit in Empuriabrava · ★3.75 · 2 bedrooms · 4 beds · 1.5 baths,132017348,Apart-Rent,,Castelló d'Empúries,42.23972,3.12413,Entire home/apt,87,1,4,2023-08-26,0.70,110,260,4,HUTG-018930
879534961950588394,Rental unit in Sant Feliu de Guíxols · 4 bedrooms · 10 beds · 2 baths,234422097,Jose,,Sant Feliu de Guíxols,41.79290593754183,3.050740708459485,Entire home/apt,340,2,2,2023-08-01,0.32,1,354,2,HUTG-069690
877231697105216418,Hotel in Lloret de Mar · ★4.82 · 1 bedroom · 1 bed · 1 bath,1205494,Gian Franco,,Lloret de Mar,41.70237,2.85169,Private room,84,1,44,2023-12-28,8.92,4,333,44,HG-000926
877235007959773188,Hotel in Lloret de Mar · ★4.72 · 1 bedroom · 1 bed · 1 bath,1205494,Gian Franco,,Lloret de Mar,41.70238,2.85027,Private room,91,1,35,2023-12-30,7.05,4,0,35,HG-000926
877235034264486080,Hotel in Lloret de Mar · ★4.89 · 1 bedroom · 1 bed · 1 bath,1205494,Gian Franco,,Lloret de Mar,41.70175,2.85019,Private room,115,1,9,2023-11-20,1.84,4,327,9,HG-000926
877244044340779030,Home in Begur · 4 bedrooms · 5 beds · 4 baths,117908511,Marta,,Begur,41.95095,3.2114,Entire home/apt,3285,1,0,,,78,103,0,HUTG-048617
877245119257012837,Rental unit in Girona · 2 bedrooms · 3 beds · 2 baths,117908511,Marta,,Begur,41.9441111764794,3.2143732602449155,Entire home/apt,1178,1,0,,,78,217,0,HUTG-019555
877246632120045206,Rental unit in Lloret de Mar · ★4.80 · 2 bedrooms · 4 beds · 1 bath,405835012,Anita,,Lloret de Mar,41.6999,2.85535,Entire home/apt,115,4,5,2023-08-31,0.79,1,339,5,HUTG-000552
877248478846291411,Home in Aiguafreda · 4 bedrooms · 6 beds · 2.5 baths,117908511,Marta,,Begur,41.95998,3.22239,Entire home/apt,1750,1,0,,,78,119,0,HUTG-066953
877254816756081903,Home in Begur · 3 bedrooms · 3 beds · 2 baths,117908511,Marta,,Begur,41.96669,3.22155,Entire home/apt,2785,1,0,,,78,160,0,HUTG-018778
873652089852696750,Home in L'Escala · 3 bedrooms · 3 beds · 1 bath,163505705,Marta - Interhome Group,,L'Escala,42.110459,3.13453,Entire home/apt,166,1,0,,,71,258,0,HUTG-068251
873677630203972695,Rental unit in L'Estartit · ★5.0 · 1 bedroom · 2 beds · 1 bath,227953558,Wouter,,Torroella de Montgrí,42.04891,3.19591,Entire home/apt,65,1,3,2023-08-24,0.46,71,153,3,HUTG-018155
873691916800806603,Rental unit in Torroella de Montgrí · 1 bedroom · 3 beds · 1.5 baths,95415596,Ceigrup,,Torroella de Montgrí,42.04982794469067,3.194838728093069,Entire home/apt,74,1,1,2023-09-21,0.30,394,349,1,HUTG-004601
879588437671284104,Home in Palafrugell · ★4.80 · 5 bedrooms · 7 beds · 3 baths,482664742,Holidu,,Palafrugell,41.914963559595385,3.162695746868849,Entire home/apt,147,1,5,2023-08-28,0.79,40,350,5,HUTG-068441
873734046172972104,Rental unit in Calonge · 2 bedrooms · 2 beds · 1 bath,35477832,Gemma,,Calonge,41.849943007907704,3.0899713829173017,Entire home/apt,140,7,0,,,1,358,0,Exempt
873738139155558643,Rental unit in Torroella de Montgrí · 1 bedroom · 3 beds · 1 bath,95415596,Ceigrup,,Torroella de Montgrí,42.04979,3.19479,Entire home/apt,74,1,1,2023-08-06,0.20,394,62,1,HUTG-004568
