,YEAR,MONTH,Assault,Break and Enter,Theft Over,Robbery,Auto Theft
0,2013,1,89,3,13,2,5
1,2013,2,12,1,1,1,1
2,2013,3,10,1,5,0,0
3,2013,4,17,1,1,0,2
4,2013,5,18,0,1,0,0
5,2013,6,30,2,7,1,1
6,2013,7,18,2,2,0,1
7,2013,8,34,2,6,2,1
8,2013,9,48,4,7,18,2
9,2013,10,25,2,6,4,3
10,2013,11,34,6,8,2,8
11,2013,12,65,52,16,9,8
