,YEAR,MONTH,Assault,Break and Enter,Theft Over,Robbery,Auto Theft
0,2019,1,1559,720,106,328,448
1,2019,2,1452,570,72,315,377
2,2019,3,1674,610,104,249,416
3,2019,4,1663,751,112,220,401
4,2019,5,1833,740,119,333,434
5,2019,6,2029,687,127,298,464
6,2019,7,2017,811,138,322,476
7,2019,8,1835,765,117,339,425
8,2019,9,1830,698,124,276,449
9,2019,10,1819,787,131,412,537
10,2019,11,1691,759,107,343,500
11,2019,12,1650,675,116,288,450
