,YEAR,MONTH,Assault,Break and Enter,Theft Over,Robbery,Auto Theft
0,2020,1,1674,706,119,372,440
1,2020,2,1547,625,115,352,416
2,2020,3,1500,735,88,364,469
3,2020,4,1110,616,79,203,462
4,2020,5,1354,468,77,165,467
5,2020,6,1571,492,95,158,500
6,2020,7,1958,567,110,178,499
7,2020,8,1802,613,124,233,462
8,2020,9,1633,515,110,254,585
9,2020,10,1468,537,106,217,572
10,2020,11,1346,508,109,175,514
11,2020,12,1402,581,80,192,407
