,YEAR,MONTH,Assault,Break and Enter,Theft Over,Robbery,Auto Theft
0,2022,1,1336,459,84,188,683
1,2022,2,1403,425,99,179,650
2,2022,3,1704,533,101,241,816
3,2022,4,1708,509,114,303,765
4,2022,5,1985,570,126,254,768
5,2022,6,1921,475,133,238,800
6,2022,7,1904,508,141,245,714
7,2022,8,1886,500,128,279,767
8,2022,9,1854,513,124,266,872
9,2022,10,1858,502,123,256,993
10,2022,11,1741,527,142,276,986
11,2022,12,1757,559,134,206,968
