,YEAR,MONTH,Assault,Break and Enter,Theft Over,Robbery,Auto Theft
0,2023,1,1743,517,132,267,1060
1,2023,2,1649,512,135,240,834
2,2023,3,1765,563,149,198,1096
3,2023,4,1918,523,140,225,1081
4,2023,5,2166,621,154,247,1154
5,2023,6,2098,621,145,191,1125
6,2023,7,2172,681,146,309,913
7,2023,8,2168,699,161,328,1006
8,2023,9,2134,643,127,275,870
9,2023,10,1994,722,143,288,929
10,2023,11,1826,787,117,286,1092
11,2023,12,1711,639,99,284,916
