id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
954178744144402009,Villa in Cala Blanca · 4 bedrooms · 6 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.975362036856545,3.8314657585056864,Entire home/apt,530,1,0,,,199,133,0,ET 2475 ME
954190107385289891,Villa in San Jaime Mediterráneo · 4 bedrooms · 6 beds · 3 baths,515028500,Villa Plus,,Alaior,39.90718510562604,4.068357535037997,Entire home/apt,552,1,0,,,199,159,0,ET 908 ME
954193264801279599,Villa in Cap d'Artrutx · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.93051184410282,3.824429713683704,Entire home/apt,333,1,0,,,199,131,0,HT 174 ME
954199182140851436,Villa in Binibèquer · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Sant Lluís,39.82074292669257,4.236413758235904,Entire home/apt,501,1,0,,,199,126,0,VT 584 ME
954200380575763844,Villa in Cap d'Artrutx · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.93014098475885,3.8234657827208727,Entire home/apt,394,1,0,,,199,105,0,ET 485 ME
954200639465430001,Villa in Cap d'Artrutx · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.9314118407935,3.8251163623404434,Entire home/apt,319,1,0,,,199,119,0,ET 249 ME
954204050020035088,Villa in S'Algar · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Sant Lluís,39.834969116620655,4.299206121958375,Entire home/apt,300,1,0,,,199,89,0,ET 1665 ME
954204408211097525,Villa in Son Blanc · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.98514775384459,3.8341014182058597,Entire home/apt,319,1,0,,,199,133,0,VTV109ME
954208543112663978,Villa in Binibèquer · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Sant Lluís,39.819385760505554,4.246972744715836,Entire home/apt,617,1,0,,,199,82,0,ET 1967 ME
954208554956380459,Villa in Binibèquer · 6 bedrooms · 9 beds · 4 baths,515028500,Villa Plus,,Sant Lluís,39.818472098425296,4.239823959600688,Entire home/apt,1509,1,0,,,199,63,0,ET3328ME
954209224865780297,Villa in Binibèquer · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Sant Lluís,39.82616560620259,4.232667847321078,Entire home/apt,420,1,1,2023-10-18,0.41,199,145,1,VT 461 ME
954209337570477546,Villa in Binibèquer · 3 bedrooms · 4 beds · 2 baths,515028500,Villa Plus,,Sant Lluís,39.821561276684285,4.236297765351289,Entire home/apt,394,1,0,,,199,131,0,ET 2568 ME
954209339246234831,Villa in Binibèquer · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Sant Lluís,39.821097015895084,4.236358458159507,Entire home/apt,442,1,0,,,199,119,0,ET 671 ME
954209494674671003,Villa in Es Mercadal · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Es Mercadal,40.02377754846343,4.191636979581605,Entire home/apt,355,1,1,2023-10-27,0.46,199,152,1,VT 926 ME
954209581674014087,Villa in Sant Lluís · 5 bedrooms · 8 beds · 6 baths,515028500,Villa Plus,,Sant Lluís,39.850604480112395,4.242144067814498,Entire home/apt,479,1,0,,,199,145,0,ET 197 ME
954211497527214274,Villa in Son Cabrises · 5 bedrooms · 8 beds · 4 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.92917356125995,3.821067293981205,Entire home/apt,952,1,0,,,199,89,0,VT 451 ME
954216451656741171,Villa in Sant Lluís · 5 bedrooms · 8 beds · 3 baths,515028500,Villa Plus,,Sant Lluís,39.81639,4.27725,Entire home/apt,781,1,0,,,199,112,0,REG. 033
954222023800040117,Villa in Ciutadella de Menorca · 2 bedrooms · 2 beds · 1 bath,515028500,Villa Plus,,Ciutadella de Menorca,39.97061050612916,3.835194025955051,Entire home/apt,267,1,0,,,199,82,0,ET 1454 ME
954223649389575455,Villa in Santo Tomas · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Es Migjorn Gran,39.91555764028915,4.037962913980993,Entire home/apt,682,1,0,,,199,145,0,Inscrita 25/08/89
954226379947948465,Villa in Es Mercadal · 4 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Es Mercadal,40.0260664933248,4.1863933930304755,Entire home/apt,595,1,0,,,199,98,0,ET0781ME
954226623180355854,Villa in Ciutadella de Menorca · 4 bedrooms · 7 beds · 4 baths,515028500,Villa Plus,,Ciutadella de Menorca,40.00159157434443,3.80658803499931,Entire home/apt,607,1,0,,,199,110,0,VT 114 ME
954227012827430066,Villa in Illes Balears · 4 bedrooms · 7 beds · 3 baths,515028500,Villa Plus,,Ciutadella de Menorca,40.00556,3.79943,Entire home/apt,931,1,0,,,199,110,0,VT 690 ME
954241096629659745,Villa in Sant Lluís · 3 bedrooms · 5 beds · 3 baths,515028500,Villa Plus,,Sant Lluís,39.81304824901976,4.267578166168265,Entire home/apt,384,1,1,2023-10-26,0.45,199,98,1,ET 1101 ME
954242179049927202,Villa in Ciudadela de Menorca · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.97689,3.8366,Entire home/apt,297,1,0,,,199,117,0,894/1984
954262837858861931,Villa in Cala Galdana · 3 bedrooms · 5 beds · 3 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.94105378224342,3.956472109080018,Entire home/apt,394,1,0,,,199,98,0,VT 749 ME
954826243201761910,Home in Binibèquer · 3 bedrooms · 6 beds · 2 baths,426580994,Laurence,,Sant Lluís,39.824849626624946,4.234738259421339,Entire home/apt,240,3,1,2023-08-19,0.22,1,358,1,
954832517130645978,Home in Es Mercadal · 3 bedrooms · 2 baths,531010704,Laura,,Es Mercadal,40.02590845093267,4.185795818956084,Entire home/apt,106,4,1,2023-09-10,0.27,1,350,1,
954876086297547331,Rental unit in Punta Prima · ★4.75 · 1 bedroom · 2 beds · 1 bath,446801451,Bimbolla Apartaments,,Sant Lluís,39.81152392607763,4.277208010951179,Entire home/apt,210,1,4,2023-10-05,0.94,1,232,4,
955578106038442638,Villa in Ciutadella de Menorca · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.97260554893105,3.832490046983439,Entire home/apt,372,1,1,2023-10-28,0.47,199,117,1,ET 721 ME
