,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,pop_100_plus,married,not_married,total_work_activity,household_income,low_income_percent,avg_household_size,single_parents,two_plus_person_household,one_person_household,single_detached_house,apart_5_plus,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,non_immigrants,immigrants,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,income_under_5000,income_between_5000_9999,income_between_10000_14999,income_between_15000_19999,income_between_50000_59999,income_above_100k,unemployed,employed,highschool_diploma,no_certificate_diploma_degree,post_secondary_diploma,other_dwelling,income_between_20000_29999,income_between_30000_39999,income_between_40000_49999,income_between_60000_79999,income_between_80000_99999
Black Creek,1165,1365,1470,1470,1615,1570,1245,1370,1305,1345,1420,1410,1380,1040,710,435,485,210,110,15,0,6825,10315,17145,17140,19.4,2.9,1665,475,1705,670,3995,2360,4870,6190,1030,5145,2085,7720,12400,3590,700,1910,185,30,110,125,45,135,190,725,1440,8670,8470,11190,5635,5990,64011551656100.0,635295,275420,310340,755610,450485
Glenfield-Jane Heights,1455,1635,1865,2080,2275,2015,1785,1895,1765,1790,2255,2210,1865,1440,1205,865,810,605,165,55,0,10435,14635,25075,25070,14.9,3,2185,595,2105,410,3590,5180,4820,8910,1095,7770,2230,11295,17560,5660,1085,2720,185,25,175,115,60,125,195,930,2665,12295,12780,16215,8400,8615,339512803659600.0,550525,470415,560540,870760,715515
York University Heights,1260,1325,1275,1545,3155,2925,2330,1945,1780,1655,1670,1960,1705,1060,860,620,590,390,145,45,0,10535,13860,24395,24395,13.8,2.7,1390,1185,2715,1300,5345,4815,5535,9145,1200,7920,2430,9430,15655,5070,870,3435,340,75,210,240,95,185,235,855,2780,10250,14145,19435,4640,12680,141589527511200.0,530395,390445,480500,925925,705660
Rustic,470,560,600,590,700,635,535,555,560,545,560,690,670,440,325,290,280,260,95,25,0,3230,4535,7765,7765,19.1,2.7,895,145,870,1130,1920,1330,2195,3180,335,2760,765,4365,4830,1590,260,825,70,25,65,45,25,55,110,330,870,3995,3765,5425,2170,3035,20501101600.0,215215,180160,220220,265245,175195
Maple Leaf,450,535,470,475,640,755,535,565,690,740,720,750,670,440,390,290,265,250,160,45,0,4410,3980,8390,8385,9,2.7,480,165,840,1625,880,1965,1635,3275,330,2990,615,4445,4985,2080,325,865,70,15,60,35,0,25,85,300,1150,3505,4885,6085,2115,4065,1851001956200.0,125180,120155,160135,355280,240260
Brookhaven-Amesbury,990,930,1145,1105,1270,1160,1240,1260,1160,1095,1220,1335,1150,835,580,380,275,200,120,40,0,6575,7855,14430,14430,13.8,2.7,1240,335,1510,1810,3645,2620,3775,5725,675,4830,1565,7590,9440,3525,460,1670,120,15,100,45,40,95,130,715,1660,6290,8140,10150,3995,6015,27525955450.0,250275,315275,325365,485545,490380
Yorkdale-Glen Park,735,575,750,910,1265,1490,1545,1120,910,1085,1205,1090,965,745,690,495,440,420,140,30,0,7075,7490,14560,14565,12.2,2.4,830,485,2050,2165,1875,3670,3165,6475,365,5980,860,7200,8305,2855,420,1540,270,40,160,95,60,100,125,585,2025,5975,8590,10910,3390,7605,70122050510050.0,385300,255285,270375,565520,435450
Englemount-Lawrence,1395,1395,1525,1530,1380,1275,1185,1420,1520,1345,1270,1280,1170,1025,910,565,490,325,190,100,0,8050,8930,16980,16980,13.4,2.6,1055,350,2810,1915,2975,3530,4630,7495,660,6735,1425,10890,9705,2945,485,2155,525,40,185,110,50,120,190,635,2610,7305,9680,14435,2340,9935,1015052025800.0,630435,330310,290260,710555,585345
Clanton Park,945,955,945,950,1185,1360,1370,1450,1320,1235,1150,1180,1030,830,665,415,365,155,65,35,15,7780,7000,14775,14775,10.6,2.5,685,445,2215,2375,3080,3895,3255,6650,505,6080,1075,8940,8145,3300,380,1785,235,45,200,145,70,110,145,585,2555,4915,9860,13040,1625,9780,15535114015.0,305240,235265,245305,560565,460375
Bathurst Manor,735,850,690,860,1060,1135,960,1080,1220,1035,1270,1165,1075,825,680,445,385,310,155,20,0,7120,6560,13675,13675,11.4,2.6,675,370,1555,2100,2020,3280,2780,5655,410,5285,775,7145,8195,3005,340,1340,160,20,265,85,40,70,120,405,2325,4995,8685,11750,1795,8620,1604067510650.0,400200,225160,165220,445415,475300
Westminster-Branson,1255,1075,1050,1215,1675,1775,1675,1745,1720,1850,1710,1965,1665,1465,1370,740,900,500,265,60,10,11375,10950,22325,22325,13.7,2.6,1145,570,2770,875,7555,4000,6040,8865,1165,7985,2045,7160,17435,4415,785,3120,295,65,200,130,60,155,210,800,2705,9360,12960,19940,2140,14320,5654601304450.0,750455,390490,415405,870900,700600
Newtonbrook West,940,785,875,1210,1760,1995,1875,1700,1625,1620,1730,1700,1665,1225,1070,715,660,405,170,55,15,10870,10330,21200,21200,15.3,2.6,955,795,2195,2550,4390,4550,4540,8260,830,7480,1615,6265,15625,3815,570,2925,455,70,165,225,130,125,215,770,2710,8855,12345,18775,2270,13810,6405603406000.0,475395,375405,365340,660710,700480
Willowdale West,540,520,710,715,1215,1765,1760,1310,1045,1025,1040,1065,1015,980,830,620,555,230,180,15,15,8090,7305,15395,15390,19.2,2.2,570,625,2785,2035,4935,4670,3170,7610,225,7175,665,5775,9585,2365,265,1135,435,10,105,335,125,130,205,540,2415,6355,9035,14135,1170,11360,1552353001750.0,605290,290420,270255,550500,485415
Lansing-Westgate,710,740,870,830,1085,1280,1355,1215,1165,1160,1115,1025,915,820,590,415,270,180,125,25,0,7645,5950,13595,13590,11.8,2.4,515,385,1930,2380,3285,3710,2845,6220,335,5865,690,7585,7170,2335,305,1135,200,15,155,240,85,90,110,460,2695,4725,8865,12575,935,10090,351019064010.0,255180,155210,180215,515450,380340
Bedford Park-Nortown,1065,1340,1580,1560,1420,960,915,1175,1415,1420,1600,1695,1625,1320,1160,855,490,335,195,35,0,10650,7510,18155,18160,7.2,2.7,625,195,2270,4775,1950,5675,2660,8065,270,7755,585,15225,6450,3475,280,995,420,45,255,125,55,45,110,470,4550,6750,11410,16590,1470,12830,505025512500.0,250185,165235,255245,435485,405335
St.Andrew-Windfields,540,760,1135,1150,1130,990,920,800,1010,1045,1360,1335,1205,1150,860,625,465,290,135,35,0,8475,6055,14525,14525,13,2.7,750,235,1370,3225,1680,4050,2295,6125,220,5835,510,7730,8480,2875,315,695,135,20,155,130,35,55,110,360,3145,6115,8405,13220,1245,10405,215540955800.0,165125,185205,190180,400405,370275
Bridle Path-Sunnybrook-York Mills,275,455,585,650,530,425,360,250,525,535,695,755,705,670,610,485,195,130,75,35,0,4860,2760,7625,7625,9.1,2.7,250,65,660,2265,670,2920,380,3255,45,3220,80,5490,3295,1400,125,150,75,15,130,115,0,20,25,125,2270,3155,4470,7135,470,5850,4522530600.0,5040,3040,4045,140120,140100
Banbury-Don Mills,990,1090,1390,1330,1270,1475,1595,1665,1605,1690,2140,2120,1865,1630,1630,1365,1025,705,450,90,20,13040,10645,23685,23680,11.1,2.2,1060,415,4390,3450,6430,7295,4915,11775,440,11220,1000,12640,13675,4540,480,1145,335,65,270,215,95,115,220,955,4430,9855,13825,21400,2085,16420,2857454012700.0,445405,400475,515505,1095860,875635
Victoria Village,880,905,925,895,1135,1030,1205,1125,1230,1105,1220,1260,1105,935,860,575,560,265,135,25,0,6915,7745,14655,14660,17.6,2.4,1000,370,2505,1210,3195,3000,4280,6650,620,6020,1255,7605,9265,2880,395,1375,215,30,80,105,45,135,225,630,1670,6635,8020,11850,2655,8110,305370175200025.0,540345,355425,340370,635515,525415
Flemingdon Park,1390,1375,1390,1380,1530,2070,1795,1580,1510,1390,1385,1295,1200,920,865,635,480,215,115,0,0,9300,9075,18375,18375,19.9,2.8,1090,510,2100,0,6805,3560,4635,6705,1490,5815,2380,7210,13980,3300,500,2095,225,65,210,90,85,105,185,845,1635,8465,9905,14705,3560,9915,20554506400.0,515305,345460,440435,695785,720555
Pleasant View,420,595,790,795,1090,1140,955,1005,810,945,1170,1195,955,825,935,595,550,285,115,40,10,7170,6235,13410,13410,10.1,2.8,570,355,1090,1015,1450,3960,1480,5195,250,5010,435,5040,9155,2670,285,910,110,20,105,75,40,25,95,475,1935,5855,7560,11290,1990,8115,183525510076025.0,170130,200175,250220,460415,380380
Don Valley Village,1210,1280,1340,1315,1805,2175,1895,1905,1940,1835,1785,1785,1555,1280,1255,950,805,435,170,45,10,12305,10640,22945,22945,13.5,2.6,1150,685,2415,2100,5960,5185,5050,9310,930,8500,1735,7885,16940,4295,545,2205,280,15,205,130,90,70,215,905,3195,9485,13465,20280,2485,15485,36513751402900.0,320370,405430,465400,880935,755665
Hillcrest Village,455,640,845,780,945,1035,870,880,735,1035,1205,1085,1135,1145,1180,960,585,485,275,60,10,8015,6385,14395,14400,15.6,2.6,750,245,1560,1660,1940,4625,1755,6205,170,6000,380,4700,10785,2430,305,745,50,15,100,125,35,90,130,480,2345,7025,7370,12670,1665,9785,85010451657250.0,595230,180260,180210,415360,390355
Bayview Woods-Steeles,360,435,520,635,755,805,680,625,640,590,880,865,890,805,885,665,570,280,180,40,0,6060,4710,10770,10770,11.9,2.5,485,230,1145,1545,1865,2650,2105,4580,175,4440,315,4455,7075,1925,205,620,90,15,120,85,45,45,65,395,1875,5100,5670,9600,1040,7315,4851851055650.0,125155,145190,210195,380335,275255
Newtonbrook East,515,540,515,655,1075,1430,1380,1085,895,950,1020,1105,1055,910,825,540,405,260,135,40,0,7390,6385,13770,13770,17.7,2.5,530,465,1710,2800,2560,3825,2340,5880,285,5525,640,4185,9700,2405,280,1180,195,40,105,245,90,100,120,530,2055,6030,7740,12530,1170,9510,25354053400.0,345205,240265,205200,465405,380320
Bayview Village,855,815,725,785,1440,2325,2545,2020,1555,1380,1315,1270,1320,1170,1070,665,520,325,155,85,0,11140,8800,19935,19940,16.4,2.1,835,550,3705,2005,6970,6225,4230,9980,480,9255,1205,7250,13065,3565,380,1335,225,10,205,455,165,105,310,905,3255,7380,12555,18760,1070,15375,120775655250.0,395270,370365,395410,915855,670625
Henry Farm,1070,1010,795,785,1575,2975,2920,1975,1300,965,915,910,790,635,490,360,240,95,45,10,0,8925,8040,16970,16970,17.2,2.3,790,795,2640,495,7490,3340,5175,7395,1120,6530,1985,4780,11260,3015,350,2110,215,20,180,445,120,105,190,745,2170,5675,11295,15535,1330,12730,42520800.0,335235,335310,370360,840750,705500
O`Connor Parkview,935,1020,950,1070,1110,1180,1195,1235,1385,1080,1410,1420,1320,1005,775,515,380,245,135,25,0,7705,7800,15500,15500,13.6,2.5,925,400,2330,3020,2350,3410,4045,6935,520,6315,1140,10580,7155,2940,355,1380,260,80,180,90,50,110,205,700,2375,6575,8925,12535,2745,8500,17016025015050.0,390310,340290,340350,590505,455360
Thorncliffe Park,1585,1770,1615,1275,1245,1350,1745,1715,1240,1455,1165,1050,885,750,555,425,245,225,70,20,0,8520,6905,15425,15425,24.2,2.9,660,435,1995,0,6600,990,6070,4890,2175,4060,3010,6420,12905,2590,285,1465,405,40,165,115,30,110,140,770,1315,7430,7990,12415,2905,8205,9003700.0,440235,305405,375410,790665,555405
Leaside-Bennington,665,1020,1225,1285,925,665,705,840,1065,1300,1505,1370,1200,945,685,455,330,250,90,0,0,8185,5445,13630,13630,5.8,2.6,495,130,1750,3570,515,4660,1780,6375,65,6220,220,12785,3580,2300,225,455,475,80,115,80,20,60,75,365,3660,4545,9080,12425,1145,10125,7951004514100.0,145135,125140,215215,290335,315260
Broadview North,495,505,470,350,570,710,930,975,900,860,845,795,680,595,555,345,220,130,35,10,0,4585,4905,9490,9490,14.6,2.1,590,300,2110,845,3005,1630,3645,4905,375,4445,830,5940,4620,1345,210,1260,220,110,100,105,25,40,155,525,1330,3310,6180,8055,1355,5825,455901157700.0,320300,265250,335260,475325,290270
Old East York,400,470,550,495,440,445,515,630,755,670,720,790,620,505,445,270,230,170,35,15,0,4340,3405,7740,7745,8.3,2.5,320,185,1070,2210,510,2450,1275,3595,135,3395,340,6110,2920,1390,185,505,155,60,75,40,20,25,50,240,1560,2730,5010,6575,1070,4800,19503754350.0,205185,12590,125135,280255,180210
Danforth-East York,1015,1155,905,770,665,755,1160,1505,1585,1315,1225,1175,995,910,765,380,410,210,125,20,10,8150,5845,13995,13990,9.3,2.5,655,275,1960,2895,845,4805,2145,6800,145,6520,425,11280,5490,2075,215,1175,435,170,150,50,35,75,135,410,2960,4705,9290,11645,2215,8960,17503549090520.0,405210,260245,290200,400480,400405
Woodbine-Lumsden,480,450,360,290,320,410,680,750,630,625,505,610,530,460,350,215,125,95,40,0,0,3710,2915,6620,6625,10,2.3,300,180,1020,1865,595,2240,1135,3310,70,3140,230,5295,2535,1035,130,610,155,100,60,60,0,40,75,210,1350,2180,4440,5690,835,4265,315202853050.0,190105,13590,140130,220195,215210
Taylor Massey,990,860,830,725,940,1230,1355,1355,1250,1005,945,940,865,650,470,265,190,110,40,10,0,6230,6115,12340,12345,17.8,2.5,670,485,1815,600,4555,2020,3985,5025,980,4270,1740,5755,8045,1715,275,1975,220,35,125,70,40,165,150,560,1205,5130,7215,10420,1740,7540,19518518025040.0,295350,310300,305275,620525,550295
East End Danforth,1170,1340,1225,1060,1040,1255,1610,1935,1810,1680,1705,1745,1285,1095,890,525,250,160,60,10,0,9860,8240,18105,18105,11.9,2.3,925,405,3225,1780,2240,5190,4310,9215,285,8750,750,15415,5945,2565,325,1640,595,185,190,115,75,225,290,690,3725,5880,12220,15700,2175,12125,1970565525236060.0,545385,365300,300410,535570,535425
The Beaches,1090,1245,1325,1220,985,830,1285,1525,1725,1655,1730,1650,1570,1270,1070,685,365,205,65,15,0,10510,7340,17850,17850,7.9,2.3,725,270,3200,2595,715,5975,3455,9375,60,9125,310,16845,4420,2605,235,835,540,245,235,150,60,105,155,650,4530,5505,12345,16410,1315,13065,1435375415389010.0,270300,280330,295300,555545,480430
Woodbine Corridor,750,800,765,580,450,600,905,1130,1095,1050,985,865,730,600,405,230,135,75,55,0,0,5635,4255,9890,9890,11.1,2.3,520,210,1690,880,550,3135,2100,5145,90,4945,290,9060,2990,1390,165,805,290,125,100,40,15,100,120,350,2200,3130,6760,8485,1230,6665,1530285215176020.0,295215,185195,195215,310275,310210
Greenwood-Coxwell,915,935,700,505,560,835,1365,1450,1195,1100,930,890,860,750,475,290,190,110,35,20,0,6360,5205,11570,11575,12,2.3,545,315,1995,965,400,3560,2470,5900,135,5680,350,9910,3925,1490,245,835,300,210,140,110,45,135,135,395,2375,3800,7770,9685,1740,7205,1535390320240025.0,315285,240220,220200,435265,335325
Danforth,500,535,505,370,430,550,725,785,735,715,630,550,625,540,410,280,180,135,90,10,10,4355,3415,7775,7770,10.3,2.4,285,245,1235,685,395,2480,1435,3860,50,3740,165,6535,2555,835,110,750,155,75,105,50,45,60,55,225,1700,2750,5025,6575,1120,4980,125535175134520.0,350130,120150,110145,245205,175145
Playter Estates-Danforth,320,395,375,335,385,470,535,625,625,505,545,575,495,425,430,270,210,90,35,25,10,3455,3130,6590,6590,10.7,2.1,235,190,1520,625,1085,1745,1900,3605,40,3535,115,5490,2090,650,90,390,235,105,95,55,45,55,40,295,1335,2180,4410,5855,700,4690,59065185107020.0,255190,135125,135115,270255,220135
North Riverdale,480,655,655,625,485,560,750,830,895,855,830,965,770,700,545,305,230,120,35,0,0,5280,4225,9505,9500,8.3,2.3,390,250,1620,805,685,2855,2045,4865,35,4700,205,8395,2720,1020,130,615,465,270,90,105,40,50,85,350,2285,2970,6535,8405,1040,6935,1375360265139030.0,195185,155135,175165,275255,220230
Blake-Jones,365,465,425,360,460,505,545,580,665,535,535,555,440,310,320,180,125,45,55,10,0,3130,3085,6215,6215,15.2,2.4,415,165,970,480,505,1680,1425,3030,70,2890,215,5065,2290,730,110,580,145,160,55,45,25,100,105,200,1145,2290,3930,5165,1000,3820,83534015576020.0,235105,13090,105130,135195,195170
South Riverdale,1460,1315,1160,885,1195,2365,3155,2930,2485,2210,1915,1970,1405,1105,1010,545,395,200,100,15,0,12745,11135,23880,23885,11.7,2.2,1040,785,4565,890,2865,7270,5440,12420,290,11875,835,19200,8025,3025,345,1725,1040,500,285,205,100,245,285,770,5310,7030,16850,20240,3450,15980,2.4951585740406564e+16,650380,485365,385410,795780,835690
Cabbagetown-South St. James Town,380,280,235,300,550,920,1045,925,835,745,825,1015,830,615,605,430,265,120,75,10,0,4750,5370,10120,10120,15,1.8,315,485,3060,165,3215,2790,3405,6045,160,5745,450,6775,3805,755,155,785,865,260,135,125,65,135,180,505,1910,3320,6805,9340,730,7405,460630170154010.0,455315,200325,245250,425385,330350
Regent Park,600,530,605,640,1075,1370,1505,1180,890,785,820,805,680,405,365,180,175,85,15,15,0,4525,6480,11010,11005,22.9,2.1,765,425,2730,30,4850,1800,4310,5575,535,5160,950,6245,5890,1080,140,1125,540,225,75,120,90,215,180,610,1270,4375,6635,9275,1655,6595,605001060065.0,455330,335300,220205,625390,430340
Moss Park,645,540,390,530,1830,3210,3325,2330,1535,1355,1295,1300,1050,875,625,365,195,50,35,15,0,7755,12165,19920,19920,23.3,1.6,740,1115,7685,50,9815,4660,8630,12875,420,12140,1150,11685,8185,1430,260,1505,1620,420,280,445,290,730,480,1145,3180,6015,13905,17820,1915,14350,11075595243035.0,1035685,600515,505510,880950,715640
North St. James Town,725,805,645,690,1225,2115,2455,1860,1450,1165,1265,1220,1020,670,575,330,180,100,40,15,0,6850,9525,16370,16370,21.9,2,740,1120,4385,10,8855,1060,8470,8350,1180,7415,2110,6905,9780,1320,220,2660,1040,315,205,225,125,405,310,845,1590,5885,10485,14215,1950,10675,110205300.0,830620,460490,470485,900770,600405
Kensington-Chinatown,490,360,405,605,2135,2945,2200,1460,1010,880,940,980,910,800,675,425,350,370,145,35,0,6035,10840,16875,16870,23,1.9,570,1375,4670,55,5620,3005,6515,9170,350,8595,930,8655,7680,860,100,1035,1865,295,160,395,245,330,310,660,2225,6640,10230,14325,2455,10475,200595185282040.0,945455,450410,430390,740600,515415
University,165,185,160,235,605,925,770,585,425,315,340,390,290,280,245,225,175,105,20,0,0,2490,3440,5925,5930,14.6,2,180,435,1395,150,1040,1255,1980,3170,70,3050,190,3760,2140,450,60,395,350,140,60,105,25,105,45,265,1095,1875,4055,5425,465,4410,200305170131565.0,160130,170175,13595,240180,200120
Palmerston-Little Italy,365,405,430,365,980,1800,1720,1245,835,780,770,730,630,585,495,350,275,235,100,25,0,5430,6500,11925,11925,10.9,2.1,345,920,2290,380,315,2565,3620,6125,60,5955,225,8900,3755,1170,165,820,570,545,120,120,55,90,160,435,2290,3295,8625,10375,1485,8230,9903203903670116.0,330255,230245,175210,465455,385280
Trinity-Bellwoods,500,555,545,455,900,1810,1945,1545,1035,1065,965,950,785,655,565,375,340,305,80,40,0,6695,7110,13810,13810,11,2.3,490,815,2335,375,465,3800,3040,6720,125,6490,350,9250,5545,1380,265,925,810,425,195,105,60,80,155,510,2580,4415,9390,10980,2740,8305,7509807353220315.0,310270,220225,335230,465480,390415
Dufferin Grove,385,450,375,410,570,1040,1520,1270,955,780,660,595,580,430,455,340,215,100,70,10,0,4870,5135,10000,10000,11.7,2.1,295,525,2030,310,1255,2185,3085,5125,145,4825,445,6865,4015,1225,220,860,410,305,75,105,30,60,155,450,1560,3095,6910,8095,1795,6315,485140370262585.0,250295,220215,230235,400400,370300
Little Portugal,570,480,445,410,825,2275,2530,1865,1310,980,765,670,565,520,400,345,285,160,60,20,0,6535,7450,13985,13985,10.8,2,500,850,3310,265,3560,3375,4515,7770,120,7385,505,9975,4805,1490,265,1250,635,510,210,115,50,95,170,680,2480,3690,10300,11775,2080,9240,455625255269035.0,315385,285260,315345,635725,580450
South Parkdale,705,660,550,710,1135,2440,2830,2215,1770,1385,1280,1270,1150,835,695,410,275,130,50,10,0,7270,11305,18575,18580,20.2,1.8,850,1075,5740,195,7275,1710,9580,10425,860,9320,1970,10880,8600,1945,260,2740,835,500,250,200,120,360,475,1110,1810,6390,12190,15635,2725,11105,18033019531100.0,900795,700690,725505,900860,645500
Roncesvalles,680,645,800,650,540,1165,1495,1470,1245,1125,1115,940,845,640,525,340,190,130,60,0,0,6375,6110,12485,12485,12.5,2.2,455,475,2670,690,1640,3155,3625,6530,255,6185,595,10165,4180,1520,240,930,595,345,125,100,50,155,155,465,2475,3690,8795,10615,1690,8390,1015325375272510.0,495280,225300,230195,445455,405355
High Park-Swansea,965,1155,1270,1085,975,1435,2165,1930,1710,1670,1565,1555,1465,1165,1010,635,475,280,120,35,0,10765,8515,19275,19280,8.5,2.2,790,440,3895,2640,3415,6245,4210,10275,170,9890,565,15825,6420,2825,255,1420,480,275,245,140,60,100,215,810,4395,5755,13520,17695,1455,14535,520285525304515.0,295360,310315,435400,685700,710525
