,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,pop_100_plus,single_parents,two_plus_person_household,one_person_household,married,not_married,household_income,income_under_5000,income_between_5000_9999,income_between_10000_14999,income_between_15000_19999,income_between_20000_29999,income_between_30000_39999,income_between_40000_49999,income_between_50000_59999,income_between_60000_79999,income_between_80000_99999,low_income_percent,non_immigrants,immigrants,apart_5_plus,single_detached_house,other_dwelling,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,no_certificate_diploma_degree,highschool_diploma,post_secondary_diploma,total_work_activity,unemployed,employed,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,avg_household_size,income_above_100k,total_population
steeles,950.0,940.0,1120.0,1565.0,1925.0,1905.0,1280.0,1350.0,1905.0,2070.0,1895.0,1820.0,1745.0,1195.0,1050.0,895.0,715.0,460.0,175.0,45.0,10.0,4910.0,700.0,1050.0,12475.0,9510.0,7680.0,210.0,145.0,130.0,395.0,820.0,780.0,665.0,635.0,1085.0,810.0,18.9,5575.0,18560.0,2570.0,185.0,0.0,6590.0,1105.0,7120.0,560.0,6420.0,1270.0,4540.0,5930.0,11205.0,12105.0,945.0,11170.0,6180.0,920.0,2590.0,265.0,0.0,90.0,2.9545,1990.0,25015.0
stonegate queensway,1395.0,1235.0,1265.0,1295.0,1190.0,1270.0,1575.0,1865.0,1990.0,2190.0,2120.0,1790.0,1515.0,940.0,830.0,755.0,635.0,585.0,205.0,35.0,0.0,6385.0,140.0,3110.0,11990.0,8825.0,10425.0,265.0,105.0,210.0,445.0,755.0,840.0,820.0,580.0,1275.0,1100.0,11.3,14955.0,9130.0,975.0,100.0,5.0,6870.0,3560.0,10120.0,295.0,9550.0,870.0,2750.0,4570.0,13250.0,13650.0,810.0,12845.0,7090.0,385.0,3590.0,345.0,105.0,85.0,2.28,4000.0,24680.0
tam o shanter sullivan,1460.0,1380.0,1370.0,1560.0,1765.0,1665.0,1605.0,1850.0,1965.0,2230.0,1925.0,1655.0,1435.0,1235.0,1220.0,1190.0,945.0,660.0,220.0,80.0,10.0,6035.0,440.0,2165.0,12835.0,10375.0,9815.0,315.0,160.0,290.0,650.0,1350.0,1100.0,1000.0,700.0,1375.0,855.0,25.0,9130.0,17245.0,4545.0,170.0,5.0,5695.0,4115.0,8845.0,945.0,8075.0,1715.0,4170.0,6375.0,12285.0,12585.0,1125.0,11450.0,6200.0,750.0,3240.0,230.0,0.0,90.0,2.5555,1940.0,27425.0
taylor massey,1195.0,1000.0,835.0,760.0,1000.0,1245.0,1295.0,1435.0,1350.0,1235.0,1085.0,900.0,635.0,415.0,375.0,315.0,260.0,150.0,65.0,20.0,0.0,3510.0,115.0,1985.0,6630.0,5920.0,6295.0,285.0,335.0,360.0,400.0,900.0,785.0,690.0,530.0,785.0,475.0,34.9,6015.0,8690.0,4895.0,200.0,30.0,2255.0,4035.0,5450.0,845.0,4425.0,1865.0,2140.0,3095.0,7120.0,7990.0,920.0,7080.0,2185.0,205.0,3565.0,305.0,95.0,40.0,2.3465000000000003,745.0,15570.0
the beaches,1265.0,1275.0,1145.0,1045.0,1080.0,1120.0,1460.0,1745.0,1990.0,1990.0,1740.0,1615.0,1325.0,900.0,505.0,390.0,270.0,150.0,70.0,25.0,0.0,5340.0,55.0,3290.0,9705.0,7720.0,9370.0,300.0,105.0,170.0,270.0,460.0,590.0,645.0,565.0,1205.0,940.0,9.2,16430.0,4055.0,635.0,1460.0,10.0,6245.0,3135.0,9285.0,35.0,8925.0,465.0,1445.0,3110.0,12710.0,13005.0,525.0,12470.0,5590.0,485.0,3125.0,675.0,355.0,215.0,2.1565,4090.0,21105.0
thistletown beaumond heights,575.0,580.0,670.0,675.0,675.0,675.0,600.0,640.0,745.0,780.0,690.0,565.0,515.0,420.0,370.0,405.0,290.0,175.0,70.0,15.0,0.0,1975.0,235.0,555.0,4500.0,3805.0,3225.0,70.0,80.0,95.0,145.0,240.0,325.0,345.0,230.0,525.0,340.0,17.9,3920.0,5965.0,665.0,300.0,5.0,2075.0,1145.0,2990.0,235.0,2635.0,590.0,1975.0,2440.0,3730.0,4825.0,475.0,4350.0,2905.0,280.0,835.0,90.0,0.0,15.0,2.9355,845.0,10130.0
thorncliffe park,2050.0,1675.0,1340.0,1120.0,1085.0,1505.0,1600.0,1680.0,1540.0,1190.0,990.0,800.0,705.0,520.0,455.0,380.0,280.0,205.0,90.0,25.0,5.0,4000.0,190.0,1895.0,8205.0,5965.0,6715.0,165.0,145.0,265.0,530.0,975.0,1180.0,845.0,620.0,955.0,395.0,39.1,5730.0,12455.0,6270.0,0.0,0.0,595.0,6110.0,5045.0,1660.0,4130.0,2580.0,2590.0,3550.0,7895.0,7990.0,1035.0,6945.0,2595.0,220.0,2905.0,485.0,50.0,45.0,2.7835,620.0,19240.0
trinity bellwoods,705.0,525.0,495.0,545.0,1370.0,2240.0,1835.0,1440.0,1310.0,1305.0,985.0,850.0,770.0,580.0,590.0,565.0,390.0,200.0,65.0,5.0,5.0,3055.0,275.0,2145.0,7070.0,8015.0,6850.0,290.0,135.0,180.0,350.0,650.0,675.0,720.0,625.0,705.0,745.0,15.3,9150.0,6995.0,260.0,770.0,195.0,3910.0,2940.0,6555.0,295.0,6175.0,685.0,4205.0,2680.0,7925.0,9960.0,465.0,9495.0,2530.0,365.0,2905.0,1420.0,940.0,100.0,2.2325,1765.0,16775.0
university,185.0,165.0,125.0,320.0,1370.0,1200.0,745.0,510.0,425.0,445.0,375.0,365.0,365.0,275.0,230.0,240.0,180.0,155.0,95.0,40.0,10.0,1210.0,30.0,1380.0,2480.0,4825.0,3285.0,250.0,55.0,190.0,250.0,305.0,290.0,275.0,255.0,340.0,275.0,21.8,3905.0,2225.0,945.0,220.0,45.0,1335.0,1955.0,3195.0,95.0,2900.0,390.0,650.0,1225.0,4210.0,4160.0,260.0,3900.0,620.0,65.0,1450.0,795.0,370.0,90.0,1.8715,795.0,7820.0
victoria village,1030.0,835.0,870.0,920.0,980.0,1170.0,1210.0,1175.0,1310.0,1360.0,1220.0,1030.0,915.0,720.0,720.0,655.0,535.0,340.0,155.0,30.0,5.0,3890.0,165.0,2605.0,7110.0,7340.0,7280.0,220.0,110.0,275.0,630.0,915.0,825.0,900.0,635.0,1000.0,550.0,22.8,7635.0,9005.0,3200.0,300.0,20.0,3090.0,4200.0,6740.0,555.0,6105.0,1180.0,2790.0,3380.0,7960.0,8450.0,785.0,7660.0,3610.0,330.0,2825.0,395.0,0.0,0.0,2.2039999999999997,1215.0,17185.0
waterfront communities the island,1290.0,560.0,560.0,815.0,3870.0,9410.0,7865.0,4775.0,2940.0,2375.0,2185.0,1845.0,1610.0,1185.0,810.0,595.0,380.0,195.0,65.0,15.0,0.0,9080.0,85.0,14930.0,17095.0,23860.0,26985.0,1690.0,475.0,915.0,970.0,1835.0,1720.0,1900.0,2070.0,4185.0,3220.0,16.5,25280.0,15710.0,25150.0,45.0,0.0,13340.0,13635.0,26250.0,740.0,24650.0,2355.0,1625.0,5640.0,33440.0,33045.0,1320.0,31715.0,6825.0,505.0,8345.0,11755.0,815.0,330.0,1.5295,8005.0,43345.0
west hill,1575.0,1550.0,1820.0,2055.0,1870.0,1600.0,1460.0,1525.0,1935.0,2145.0,2090.0,1800.0,1515.0,1105.0,900.0,670.0,485.0,300.0,115.0,20.0,10.0,5650.0,400.0,2610.0,10235.0,11375.0,9695.0,260.0,330.0,635.0,710.0,1100.0,950.0,865.0,705.0,1260.0,970.0,24.5,13285.0,12840.0,3390.0,465.0,30.0,5870.0,3820.0,9280.0,420.0,8355.0,1340.0,4290.0,6630.0,10525.0,12435.0,1365.0,11065.0,5640.0,585.0,3550.0,205.0,0.0,60.0,2.565,1900.0,26545.0
