,single_detached_house,apart_5_plus,other_dwelling,avg_household_size, married,not_married,single_parents,one_person_household,two_plus_person_household,low_income_percent,non_immigrants,immigrants,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,total_work_activity,unemployed,employed,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,population for 100 years and over,household_income,income_under_5000,income_between_5000_9000,income_between_10000_14999,"$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$15,000 to $19,999","$20,000 to $29,000","$30,000 to $39,000","$40,000 to $49,000",total_highest_education,no_certificate_diploma_degree,highschool_diploma,trades_certificate,non-university_certificate,university_certificate,bachelors_or_above,bachelors,above_bachelors
city of toronto,"269,675","493,275","349,880",2.42,"1,181,360","1,152,075","152,595","359,960","68,010",20.2,"1,332,090","1,266,005","587,095","525,835","1,054,450","58,480","978,105","134,825","2,294,790","791,795","1,502,995","575,255","57,170","463,000","107,665","34,355","13,610","69,89566,105","69,35065,680","64,94562,165","74,24071,285","97,41597,330","113,905119,040","108,895115,675","94,070102,240","86,53595,860","90,860100,065","98,735103,670","88,14594,660","72,27081,600","60,36070,180","42,32051,285","32,73043,430","25,67034,965","15,66525,135","6,18513,500","1,2803,475",650125,"1,112,930","33,195","23,455","36,550","84,180","76,120","68,190","60,400","53,485","54,025","47,31547,500","46,94547,115","46,28544,650",2294785,377340,561090,5306040945,362080,65015,835260,534610,54570
agincourt north,3345,2120,3645,3.16,14200,11075,1650,1350,290,21.3,"7,895","19,995","7,395","1,720","8,455",675,"7,805","1,315","25,000","11,060","13,940","7,155",930,"3,350",265,70,45,660620,695620,660595,840865,1015975,10151005,835935,680775,760910,8901060,11601290,10601165,9251070,925985,590690,490575,380485,210350,100160,2560,100,"9,120",155,105,160,800,700,635,525,515,450,320540,420455,420435,25000,6550,7460,505375,3540,775,5805,4380,295
agincourt southmalvern west,2790,3145,2200,2.88,11205,9475,1360,1615,445,22.6,"7,190","15,095","5,890","2,250","7,590",555,"7,165",970,"20,400","8,270","12,140","6,135",665,"2,985",280,35,65,575530,540495,460475,780690,1000895,1045975,820835,625715,610745,760885,970975,850915,710795,630690,425450,350405,240350,155205,45100,2020,00,"8,135",315,140,195,770,645,595,510,405,265,315400,370385,370415,20400,4035,6090,375325,3150,655,5765,4210,280
alderwood,2840,255,1525,2.6,5735,4550,670,1105,185,8.2,"7,975","3,970","3,675",950,"4,515",95,"4,285",325,"10,265","3,245","7,015","4,090",355,"1,285",195,65,65,360320,270325,225255,285290,355310,355350,410430,455450,420445,440430,515515,540485,390400,300325,205210,155180,105210,65130,3570,105,50,"4,620",55,45,80,335,300,320,275,250,90,145150,155170,160165,10265,2005,2960,345345,2095,230,2290,1660,125
annex,645,8165,7125,1.8,12275,15890,895,7885,1430,18.3,"19,030","8,270","6,060","9,870","15,730",210,"15,125",800,"26,305","6,925","19,365","3,290",290,"6,200","3,200","1,675",225,445480,365400,325355,465550,12151520,20802265,16101675,10551040,835915,850855,920935,855915,755940,780950,640700,485565,335425,230345,80260,2590,255,"15,935",850,485,655,"1,000",900,795,715,605,740,620530,525555,540505,26290,1585,4270,265265,2700,615,16590,9135,960
banburydon mills,3485,6270,2370,2.23,13240,10850,1255,4350,375,13.7,"13,310","13,195","7,390","4,735","11,720",405,"11,255",865,"23,385","8,965","14,440","7,150",500,"2,945",615,65,140,570500,660600,675600,715660,700650,645745,735860,735895,815975,10101170,11101115,9301005,730895,715955,570790,505730,435650,340615,175360,20105,205,"12,125",265,155,235,930,885,780,655,605,400,395445,405470,460400,23390,2295,5150,450345,3490,795,10850,6500,800
bathurst manor,2105,2055,1925,2.56,7110,6440,880,1660,300,17,"7,135","8,020","3,285","2,800","5,765",325,"5,380",705,"13,270","4,430","8,840","3,910",265,"2,870",215,15,90,435400,355365,415330,490405,530510,465480,485575,580615,435575,535650,605630,565605,385470,380415,225275,200280,165285,110265,80165,2045,105,"6,085",130,85,155,400,430,390,310,300,415,245230,220255,240245,13265,1665,3390,345255,2125,485,4980,3075,475
bay street corridor,5,14800,280,1.7,9305,14790,795,7610,2395,37.7,"9,995","10,455","4,835","10,245","14,585",490,"13,175","1,900","23,940","8,590","15,335","1,780",165,"3,540","5,840",325,175,470500,230235,130105,585790,24853005,21152440,16951645,1010825,560530,500555,540665,475500,375425,295445,285320,200250,150170,80135,3550,05,00,"15,075","2,510",735,740,850,840,815,705,570,690,580560,490515,440410,23940,700,5740,155100,1595,545,15090,8370,680
bayview village,2025,5900,1610,2.22,10545,8440,1020,3205,435,23.7,"7,220","12,625","5,605","3,930","9,070",465,"8,445","1,095","18,730","6,655","12,070","5,270",385,"3,695",345,30,100,455405,395405,410350,520425,735815,10751145,10401170,805860,685760,605780,620750,560775,555660,475585,345440,265355,230315,150230,75115,1025,00,"9,530",585,260,290,650,655,615,520,495,330,365370,360330,350335,18725,1310,3680,215145,2905,700,9790,6055,515
bayview woodssteeles,1565,1775,1365,2.7,6565,5075,695,970,150,18.4,"4,735","7,535","2,720","1,985","4,555",140,"4,365",335,"11,155","4,740","6,415","2,920",240,"1,610",110,10,65,205185,260265,320270,385365,445435,405410,285285,230310,310385,390535,430520,450525,375475,405520,315400,310400,255330,165265,55180,2055,100,"4,695",90,70,80,330,290,265,255,250,130,200170,205180,200165,11155,1295,2385,255155,1595,355,5120,3060,410
bedford parknortown,4820,1995,1790,2.68,10890,7790,790,2380,220,9.4,"15,885","6,805","6,005","2,595","8,350",260,"7,995",610,"18,565","5,905","12,650","5,940",355,"2,415",550,90,180,675605,795780,880820,880840,765725,405475,450645,590785,665835,760985,845985,790885,670730,560660,400505,270390,250305,145260,60140,1535,100,"8,605",140,85,150,440,395,390,360,275,265,230215,230215,225240,18560,1985,3815,310215,2135,465,9625,5655,725
beechboroughgreenbrook,665,665,1325,2.4,2290,3160,695,865,125,28,"2,685","3,425",895,"1,755","2,495",155,"2,140",510,"5,255","2,135","3,120","1,235",175,"1,105",100,20,20,180190,195200,170180,210205,215225,225235,200240,205260,170225,225270,220280,210250,230185,120155,125110,6590,9060,2545,1060,00,00,"2,650",50,60,160,205,200,160,110,105,190,185170,190170,155125,5255,1605,1515,195280,890,160,610,445,75
bendale,3870,4850,2040,2.7,13310,12110,1630,2810,660,23.4,"11,675","15,865","7,000","3,765","9,915",855,"9,215","1,550","24,610","10,285","14,335","6,465",620,"4,680",520,45,100,770735,790710,775765,955900,13701385,11351155,9951130,835925,840945,9501030,10101090,945990,765830,650795,495580,435545,355500,230350,80155,1065,1010,"10,765",615,220,255,935,845,765,615,575,450,370475,465520,495530,24620,4750,7605,590425,4255,695,6295,4550,425
birchcliffecliffside,4900,945,3350,2.36,9905,9045,1270,2945,360,14.5,"15,430","6,080","6,145","3,055","9,045",150,"8,635",570,"18,350","6,115","12,235","5,695",480,"3,210",415,140,140,570510,580570,535575,585555,650635,530555,600635,675715,740870,835895,10201045,915990,810810,640690,420450,245345,200290,125250,55140,2540,55,"9,200",165,290,320,650,595,525,475,465,335,405330,315340,330310,18355,2930,5245,435470,3610,485,5170,3470,365
black creek,680,4065,2585,2.94,7025,10110,2380,1660,420,33,"8,175","12,705","2,440","4,880","6,380",945,"5,365","1,950","16,960","7,790","9,170","4,040",735,"2,720",245,85,85,745755,800785,785730,765820,840860,725845,635805,580730,585735,660780,680795,640730,465610,380470,285355,245330,175235,95130,4080,515,150,"7,325",140,170,315,750,565,475,360,305,600,440480,485445,460430,16965,6420,5195,535545,2360,340,1565,1235,90
blakejones,495,470,2155,2.46,3240,3090,525,965,150,24.5,"5,175","2,420","1,690","1,435","3,035",85,"2,895",225,"6,285","2,085","4,200","1,075",115,"1,605",225,305,40,270255,245245,215175,245205,210225,255235,285330,320355,305330,265325,295305,255315,190190,150165,85110,7080,5055,3050,1515,55,50,"3,125",55,90,145,165,165,140,120,115,270,135140,130115,115100,6275,1175,1345,150135,920,125,2435,1550,160
briar hillbelgravia,1610,2395,1730,2.48,6210,6195,925,1720,330,17,"5,280","8,555","2,835","2,900","5,340",390,"4,755",975,"12,360","3,950","8,395","2,870",305,"3,595",305,60,85,345340,315260,305300,365390,455460,575500,550585,515600,460570,505645,540660,495595,365470,315400,165255,135240,100170,70130,3055,510,00,"5,730",105,135,190,470,430,415,370,315,290,280265,250295,285240,12355,2545,3080,415270,2170,455,3405,2360,300
bridle pathsunnybrookyork mills,2275,590,380,2.83,4855,2975,285,630,40,8.8,"5,880","3,150","2,940",295,"3,220",15,"3,190",55,"7,750","2,815","4,935","2,240",140,580,165,35,75,180160,240240,325295,410340,345325,205215,125170,145205,220290,285410,395425,375435,350370,280290,205215,145175,105115,8090,2530,1015,00,"3,240",80,25,35,100,95,75,95,105,35,3045,4045,3030,7745,615,1500,8030,510,220,4795,2585,405
broadview north,850,3325,1495,2,4730,5300,645,2440,325,22.6,"6,240","4,790","1,805","3,855","5,375",290,"4,805",855,"9,875","3,240","6,640","2,010",165,"2,710",345,295,55,295255,250225,215230,215230,290310,420480,500545,465500,455495,460470,430465,365400,285400,295330,190240,140180,90140,70105,2050,05,00,"5,665",145,110,200,540,400,320,280,225,360,290345,335305,310270,9875,1665,2295,310175,1705,225,3510,2215,240
brookhavenamesbury,1790,3745,950,2.73,6690,7695,1730,1545,295,24.7,"7,580","9,725","2,620","3,860","5,900",585,"5,055","1,425","14,350","5,300","9,045","3,825",395,"3,380",255,25,55,530530,610595,545540,580595,620680,595660,565730,525715,505655,535720,660765,565675,470470,305365,210245,155235,130200,85110,3040,100,00,"6,480",100,125,255,595,560,440,345,275,330,385360,385425,365325,14340,4270,4150,640410,2555,410,1920,1435,195
cabbagetownsouth st james town,160,3375,2910,1.71,4590,6285,375,3320,560,20.8,"6,965","3,770","2,855","3,590","6,350",100,"6,070",360,"10,185","2,760","7,435","1,295",120,"2,010","1,805",710,105,155160,135125,110110,135160,365370,555490,550450,560375,500315,600315,725405,610335,455315,415375,280265,180185,125130,75115,2065,1020,00,"6,440",175,160,330,425,420,350,295,270,510,330265,245240,235255,10185,770,2065,200130,1600,325,5105,2925,380
caledoniafairbank,1680,165,1835,2.69,4585,3875,605,825,195,14.2,"4,275","5,285","2,380","1,300","3,495",180,"3,185",500,"8,420","2,815","5,600","2,070",470,"2,130",160,70,55,270235,240260,235245,300245,365315,365370,430405,370380,325345,365410,405415,360400,290295,210215,155165,110130,60115,5060,2030,55,00,"3,680",55,65,100,295,255,250,210,235,115,175155,190180,170180,8420,2925,2175,265320,1385,190,1160,850,95
casa loma,875,2680,1850,2,5275,4485,315,2275,285,12.5,"7,715","2,885","2,170","3,235","5,350",55,"5,170",235,"9,635","2,785","6,840","2,040",130,"1,970",630,215,100,185165,210190,225230,230220,295330,445520,405500,300365,265325,335360,345390,340355,330430,340490,310355,230245,140165,105160,3570,1020,100,"5,405",165,75,135,280,285,285,240,260,180,160185,170170,140160,9645,490,1690,13090,1165,170,5920,3315,365
centennial scarborough,3510,0,865,3.05,6955,4260,590,500,60,6.2,"8,305","4,990","4,095",280,"4,320",55,"4,235",150,"11,190","3,775","7,430","3,955",350,"1,675",110,0,70,310340,355365,400375,495450,460445,375340,305350,345400,365445,460505,540595,500550,410495,420420,315345,230250,135110,5065,1525,105,00,"4,380",20,25,35,210,230,235,295,270,50,4575,8575,9590,11190,1295,2820,235210,2235,350,4055,2925,200
churchyonge corridor,10,18055,1595,1.54,10880,19190,760,11420,2395,26,"16,650","10,935","5,800","13,865","19,250",430,"17,965","1,715","29,100","6,970","22,115","2,705",245,"7,000","7,275",690,190,340325,155175,135145,440585,18102205,28002745,24502035,16751065,1210780,1205685,1405730,1065740,840605,650460,420330,255270,185185,85100,1535,100,00,"19,680","1,310",755,"1,070","1,445","1,310","1,255","1,005",925,"1,125",875720,765785,760755,29095,1220,5510,480285,3800,850,16930,10405,1030
clairleabirchmount,3135,1965,4145,2.84,12120,10305,1610,1900,445,19.5,"12,665","13,115","6,065","3,180","8,610",650,"7,985","1,255","21,735","7,580","14,165","5,860",560,"5,435",340,90,80,800790,755730,775705,895810,965805,875915,9051010,9351045,8401015,10651035,11401130,945950,695775,525630,345390,235330,210315,140220,60175,1545,50,"9,245",150,110,260,735,700,610,575,555,295,390420,420385,445420,21745,4215,6165,570510,3930,570,5755,3825,305
clanton park,2405,2315,1830,2.51,7360,6340,815,2040,315,14.9,"8,425","7,485","3,545","3,010","6,085",470,"5,610",955,"13,650","4,085","9,570","4,195",280,"3,230",200,80,85,510460,520430,450395,480460,490490,565595,660690,605770,540690,515650,550655,500575,405460,355430,220270,165220,145175,95140,4085,1020,50,"6,550",125,100,165,485,480,410,385,310,380,260270,255250,285255,13655,1735,3245,425210,2310,445,5290,3495,390
cliffcrest,3380,1335,1185,2.68,7245,6115,880,1490,185,17.9,"9,795","5,835","3,950","1,955","5,735",165,"5,405",495,"13,250","4,930","8,325","3,970",260,"2,320",170,35,40,380355,445450,475470,585505,540505,400410,430375,325450,470570,600645,670735,685675,540550,470465,245325,175230,170235,85140,3575,1015,00,"5,905",100,85,145,410,350,350,315,285,300,285245,200215,255220,13250,2165,3925,280315,2645,275,3640,2455,235
corso italiadavenport,1240,0,4245,2.56,6480,5740,830,1285,390,13.4,"7,590","6,095","3,450","2,055","5,390",95,"5,025",485,"12,200","3,770","8,430","2,980",500,"3,020",330,355,70,370335,340265,300290,305325,445455,675670,665650,625610,485495,465520,555510,475505,375395,275310,180240,180220,130170,95130,2045,010,05,"5,490",125,85,125,410,370,320,300,310,195,250205,260230,260215,12200,3390,2875,385340,1675,240,3285,2135,165
danforth,685,330,2905,2.44,4405,3585,400,1190,260,14.2,"6,575","2,855","2,520","1,400","3,865",60,"3,700",225,"7,955","2,345","5,600","1,545",155,"2,290",295,295,40,325295,310280,220240,195210,245265,315305,355415,390435,390400,340335,365340,305325,260290,265240,190175,125130,95100,4570,2535,50,50,"3,930",75,65,135,220,210,195,155,165,290,190135,140130,125120,7950,1440,1670,140105,1145,160,3295,2090,240
danforth east york,2900,880,3235,2.43,8180,5975,840,2015,305,13.6,"11,310","5,575","4,965","2,060","6,885",140,"6,535",485,"14,055","4,330","9,725","3,380",355,"3,370",425,400,120,610595,510500,415400,350365,385340,415395,630665,760840,770730,665720,635675,500615,450565,385470,265315,205270,165220,100130,3560,520,00,"7,025",95,105,165,445,385,345,330,375,330,310260,275260,255255,14055,2500,3045,350205,2370,345,5255,3350,315
don valley village,2120,5630,2215,2.69,12825,10150,1470,2115,560,23.5,"7,690","17,865","5,100","4,870","9,205",760,"8,390","1,575","22,760","8,920","13,840","5,845",510,"4,605",375,20,140,715655,750665,680590,710690,965895,1045970,885985,8801115,9501080,9101075,9501005,785915,635800,605790,445575,415500,300390,160250,60125,1545,150,"9,970",330,175,255,835,755,710,595,495,385,415465,500460,415435,22770,2505,5220,500240,3635,970,9675,5995,560
dorset park,2130,3770,2880,2.78,10765,9990,1625,2115,370,22.3,"9,300","14,685","5,380","3,400","7,930",855,"7,055","1,720","20,125","7,550","12,575","5,580",600,"4,255",440,55,95,645720,775695,730685,720760,870810,750840,770895,765920,765945,820900,10051115,885955,635850,525565,355385,230365,220355,145290,80190,1555,50,"8,775",135,140,250,855,730,625,545,455,415,390470,470470,525465,20130,3975,5985,545480,3570,635,4945,3485,290
dovercourtwallace emersonjunction,1635,2265,11420,2.37,15640,16510,1865,4645,1670,17.1,"20,635","14,395","7,630","7,665","14,900",380,"13,960","1,330","31,765","9,145","22,600","5,825",820,"8,950","1,215","1,980",310,880870,790690,670600,665760,12601255,21402255,21602165,16901685,13401355,12301200,12851250,11051080,830905,660705,480560,370515,270355,160230,60100,1530,05,"15,325",310,330,605,"1,150","1,035",935,905,815,785,715660,640695,650625,31760,7105,7335,755555,4590,655,10775,7085,580
downsviewrodingcfb,4330,3085,5695,2.67,14540,14770,2765,3395,635,19.4,"14,560","19,515","6,275","6,855","12,180",925,"10,635","2,485","29,275","10,945","18,320","8,405","1,060","6,085",460,10,145,9551025,1015860,945925,10201000,11851145,11151130,11301310,11951430,10651285,11851405,14001420,12151295,925945,725785,495630,490600,455505,245365,85120,2035,00,"13,115",200,180,400,"1,200","1,025",855,730,640,620,680655,755775,710685,29270,8590,8365,1065965,5015,810,4485,3350,360
dufferin grove,310,1335,3795,2.15,5025,5480,490,2020,600,18,"6,785","4,395","2,205","3,235","5,255",175,"4,905",530,"10,435","2,790","7,630","1,655",185,"3,010",600,775,80,255235,215205,190180,200170,320375,690840,830820,655560,460420,380390,325320,355330,280270,220260,170190,130165,95110,5060,2035,05,00,"5,430",125,95,190,415,410,355,285,245,310,260240,305290,265245,10430,2150,2125,195185,1590,210,3965,2590,235
east enddanforth,1770,2085,5320,2.29,9245,8400,1220,3175,410,18.8,"14,820","5,920","4,990","4,190","8,910",260,"8,405",780,"17,290","5,060","12,235","4,145",365,"4,410",610,365,160,720680,585650,525575,540525,590560,575570,770865,875930,870935,835930,880945,765825,580635,485515,295335,180235,130165,60125,2580,520,50,"9,175",210,270,455,530,500,415,400,390,550,445375,375330,320295,17295,2290,3915,365285,3155,425,6860,4430,440
edenbridgehumber valley,2555,2405,1290,2.43,7325,6095,835,1790,190,10.5,"9,065","5,950","3,510","2,745","6,120",130,"5,740",510,"13,070","4,245","8,825","4,490",345,"2,010",175,40,45,270295,345365,450395,470415,450475,480420,425475,385440,415515,520615,605645,575655,515625,420490,290350,230325,210305,160245,65145,1545,50,"6,250",85,50,100,465,415,400,345,280,165,220200,210235,225270,13075,1725,3175,335280,2055,325,5190,3155,415
eglinton east,1535,4965,1425,2.81,8835,9765,1925,1790,375,26,"8,730","13,000","3,560","4,355","7,055",855,"6,095","1,810","18,085","7,570","10,505","3,940",445,"4,595",195,10,65,690620,770700,695690,780795,820720,655785,625795,655830,625820,730870,800960,735785,615665,445565,320490,265375,195280,130225,40125,535,100,"7,910",100,130,265,760,650,550,460,335,370,405500,510485,475480,18085,3925,5645,605430,3305,530,3650,2575,260
elmsold rexdale,990,1375,845,2.93,3530,4120,885,630,150,23.2,"4,600","4,725","1,750","1,470","2,955",260,"2,645",570,"7,640","3,080","4,565","2,350",250,"1,330",70,20,30,275270,290305,335325,360330,400345,295300,260325,260295,225310,300375,360400,350370,235285,185230,140165,105140,80100,4560,1025,05,00,"3,220",40,50,80,320,265,240,190,165,125,150160,170180,180175,7640,1870,2620,255220,1380,170,1130,820,80
englemountlawrence,1905,3030,3320,2.65,8245,9325,1430,2825,375,21.3,"11,490","9,785","3,445","4,795","7,595",645,"6,865","1,380","17,085","6,215","10,865","3,890",265,"3,945",590,85,150,785815,790855,770785,810790,720715,605700,600780,635910,550880,565770,585790,555750,460670,420535,285380,220375,195355,150320,105250,3075,155,"8,245",170,155,290,735,565,500,435,315,635,485395,390380,315335,17080,2675,4340,505330,2635,725,5880,3730,525
eringatecentennialwest deane,3925,1785,1165,2.7,8940,7015,1060,1435,180,9.7,"10,180","8,190","5,810","1,055","6,715",155,"6,410",455,"15,900","5,570","10,325","5,980",465,"1,945",180,35,75,395380,460465,470455,640540,635595,515455,475485,480525,460540,610760,780825,745845,610670,490580,350420,310435,295360,145230,50100,155,00,"6,860",65,25,70,435,475,465,445,390,125,220205,250215,255235,15890,2435,4225,470380,3035,425,4915,3360,315
etobicoke west mall,965,3160,450,2.5,5045,5110,820,1285,210,18.3,"5,415","5,805","2,410","2,175","4,290",295,"3,920",670,"9,775","3,295","6,480","3,185",315,"1,750",200,65,45,320255,290290,285260,350320,385405,515475,420440,340380,340370,380465,435490,445445,320390,240305,160200,145185,125210,80200,45115,1540,50,"4,585",95,65,125,475,375,325,275,265,165,180195,210205,235210,9770,1730,2715,290210,1765,365,2705,1810,220
flemingdon park,0,6425,1395,2.8,9100,8440,1365,1975,410,34.7,"6,990","14,030","3,500","4,335","6,610","1,215","5,610","2,220","17,535","7,835","9,705","3,705",260,"3,860",405,50,90,750745,755710,730690,790690,820765,770810,750840,715870,680790,660770,740755,625670,465575,435560,320410,245345,170225,95110,2535,05,50,"7,830",255,145,250,745,665,525,435,350,500,440500,485480,505415,17535,3825,4850,390260,2740,550,4910,3265,280
forest hill north,1470,3430,540,2.33,5645,5100,570,1930,275,15.5,"7,210","4,975","1,855","3,590","5,125",315,"4,670",775,"10,615","2,925","7,685","2,910",185,"2,720",280,95,90,325295,390325,365345,360360,390400,365440,355515,400505,410525,400550,410500,395530,345455,340405,205270,120200,90140,65125,3590,545,50,"5,450",120,95,155,390,345,310,280,245,260,240220,215210,230205,10610,880,2190,215135,1440,435,5320,3015,455
forest hill south,1685,2025,1235,2.14,5135,4235,305,2005,170,10.7,"7,535","2,755","2,615","2,320","4,920",30,"4,780",170,"9,285","2,670","6,615","2,355",100,"1,830",285,150,85,165195,220215,270285,310325,360365,380430,320415,230350,275360,340390,365400,345405,355420,325425,225295,170220,120155,90125,4040,525,00,"4,950",125,65,110,315,255,220,210,190,155,165165,150145,145175,9290,690,1605,9055,980,290,5575,2900,415
glenfieldjane heights,415,3405,6110,3.04,10485,14210,3350,1950,490,25.7,"11,700","17,790","5,105","4,810","8,945",965,"7,620","2,290","24,415","11,370","13,035","6,205",975,"3,965",280,55,90,865895,1060950,1045975,11151115,11001190,900965,8101040,780995,7101045,9551185,10751130,9501105,720830,605760,455610,425600,365475,225275,70105,520,50,"9,920",90,155,280,925,720,630,550,470,630,655590,640655,535560,24425,9560,7190,790600,3650,500,2110,1610,160
greenwoodcoxwell,965,515,4575,2.37,6270,5690,830,1955,360,19.7,"9,775","4,385","3,595","2,455","5,930",130,"5,575",480,"11,920","3,615","8,315","2,395",275,"3,050",485,580,85,570490,415440,265285,305280,380340,505545,605690,685750,650625,540575,525535,445500,390440,250300,170190,125165,110115,5580,1045,010,00,"6,055",150,140,270,340,330,310,325,305,350,320230,245215,205205,11925,1960,2710,235175,2005,245,4590,3045,290
guildwood,2175,1090,725,2.42,4780,3840,535,1120,105,7.7,"6,455","3,130","3,085",905,"3,955",35,"3,840",150,"8,355","3,275","5,085","2,490",175,"1,320",130,10,50,220185,225200,225235,290245,280255,215200,200230,210245,285330,330350,360410,375435,325430,265325,225295,210305,205280,120225,55100,1020,50,"3,990",40,20,40,295,255,265,255,240,60,140110,130150,130160,8365,1080,2225,200325,1590,235,2715,1785,245
henry farm,495,5330,535,2.47,7090,6145,780,1790,565,29.6,"4,205","9,525","2,355","4,010","5,565",795,"4,905","1,450","13,210","4,590","8,620","3,105",325,"3,425",340,20,65,485450,445435,340335,415380,810725,10251005,880915,690695,510530,400490,440475,335420,285350,235285,145195,120145,70120,4060,020,05,00,"6,365",460,170,210,545,465,470,415,340,280,280290,265280,280285,13210,1210,2765,260170,1920,510,6370,3985,350
high park north,1370,6515,3120,1.98,9890,9420,890,4750,625,16.5,"13,340","7,670","3,725","7,295","10,655",370,"10,010","1,015","18,985","4,840","14,120","3,665",235,"6,260",520,565,90,535550,505470,395390,375410,495610,10651255,12151380,9801010,845895,755765,715745,665700,575650,450590,310400,200300,140245,90210,60130,2030,50,"11,025",330,270,420,800,725,660,630,525,540,460425,410420,420420,18970,1535,3250,375220,2980,510,10125,5975,610
high parkswansea,2655,3585,4635,2.15,10915,9465,970,4195,490,11.1,"16,315","6,565","6,135","4,745","10,760",115,"10,350",515,"19,810","4,860","14,945","5,310",345,"4,725",620,810,130,595550,655605,575555,500510,515615,9251130,10901175,9351055,830955,840905,805935,740800,620705,540635,365465,235365,155315,120280,85215,1545,50,"10,880",260,155,230,730,715,630,590,560,330,430350,340345,395355,19815,1575,3385,315260,3100,515,10665,6390,690
highland creek,3100,0,590,3.37,6185,4770,515,420,140,10.5,"5,195","7,015","3,290",410,"3,565",135,"3,420",280,"10,925","4,095","6,840","3,805",325,"1,480",75,25,15,230220,260225,305300,420390,565545,510430,360335,315315,250315,345435,480530,480530,480525,455455,330325,220180,120125,4575,2035,55,00,"3,700",60,25,45,230,230,200,195,210,60,7080,90120,80115,10930,1625,3200,345230,2085,400,3055,2150,205
hillcrest village,1650,1940,2805,2.64,8360,6460,940,1485,220,21.9,"5,015","11,285","4,895","1,505","6,240",160,"5,990",410,"14,805","6,580","8,225","3,695",320,"2,170",180,10,40,330260,405350,440325,525450,605580,500505,360355,315450,430605,595705,600645,505635,485635,520680,420545,375520,255375,175230,70105,1530,00,"6,395",175,115,170,375,350,405,310,305,560,235325,245245,195165,14805,1865,3400,210165,2155,575,6445,3980,455
humber heightswestmount,1680,1975,490,2.45,4730,4760,710,1205,125,14.6,"5,360","4,645","2,515","1,620","4,010",130,"3,770",360,"8,660","3,365","5,295","2,800",205,"1,200",65,10,55,235205,250245,260255,265250,325295,240285,290310,265300,265340,310375,385430,390400,310410,280310,190295,195295,195335,140350,100285,1555,100,"4,135",45,35,75,375,305,230,265,195,165,180175,195195,170190,8660,1555,2305,305210,1645,300,2340,1515,205
humber summit,525,710,2655,3.18,5515,4750,825,640,140,19.7,"4,860","7,280","2,725","1,165","3,495",400,"3,235",660,"10,260","4,510","5,745","3,225",365,"1,305",95,10,35,335355,380345,360370,440385,455445,430410,355390,345410,375400,375425,480460,330365,300310,255325,230305,250300,215245,115105,2020,55,00,"3,895",40,50,60,330,325,270,255,185,95,200190,215255,240220,10255,3495,2990,300335,1505,195,1450,1005,85
humbermede,575,1585,2895,3.07,6245,6355,1320,860,265,22.7,"5,730","9,440","2,660","2,400","4,460",590,"3,890","1,155","12,580","4,935","7,650","3,925",505,"2,070",115,20,55,510485,505525,480450,545500,610560,545580,460595,500580,440525,510570,565590,495500,350420,315365,205245,190265,140180,9095,3540,55,00,"5,055",85,70,105,540,405,380,315,255,190,235275,300280,300235,12585,3635,3825,500305,2110,250,1955,1370,135
humewoodcedarvale,1850,1705,3015,2.17,6155,6040,615,2535,495,15.7,"9,135","4,660","2,325","4,240","6,365",200,"5,920",655,"12,070","2,870","9,190","2,585",275,"3,725",450,280,140,370350,415335,340355,315330,425540,650790,625775,520615,510565,470545,435500,385460,330460,295380,200245,145180,80125,5595,2565,525,00,"6,570",165,130,240,510,430,360,275,240,410,310290,290285,295300,12070,1125,2225,225150,1885,395,6060,3505,500
ionview,1020,2880,1270,2.63,5650,5675,1085,1310,305,23.3,"5,220","7,795","2,020","3,140","4,630",535,"3,995","1,165","11,300","4,320","6,975","2,440",255,"3,025",235,30,95,415420,400375,335365,395355,435445,510535,505595,515490,430485,440470,510585,425505,360445,270340,185255,155195,110135,65110,2040,010,00,"5,165",120,95,205,465,440,400,280,260,250,240295,295295,340295,11300,2385,3260,315265,2100,370,2600,1670,205
islingtoncity centre west,5175,12345,1790,2.24,20215,17940,2305,6650,950,15.8,"22,450","19,590","11,215","8,105","18,480",840,"17,255","2,075","37,410","11,355","26,055","11,775",975,"8,205",795,90,195,11401070,970950,845845,975970,13901405,19402040,20751995,17201810,14401520,14051560,14601670,14101515,11601320,9151130,670880,500745,460620,295580,145315,3090,305,"19,325",415,320,465,"1,530","1,475","1,365","1,170","1,065",785,665730,680735,735755,37405,4440,8415,880790,6590,1125,15135,9970,1135
junction area,740,720,4575,2.33,6305,5875,695,1985,405,13.5,"9,355","4,550","3,575","2,460","5,930",105,"5,630",405,"12,005","2,940","9,060","2,860",285,"3,335",535,525,45,480430,375360,275280,330305,410400,560650,690820,640725,600585,535530,605545,455495,385420,290320,175150,95125,6595,4585,1030,05,00,"6,035",130,110,195,440,420,370,330,335,235,220225,210235,220235,12000,1695,2510,300195,1935,260,5110,3250,320
