,single_detached_house,apart_5_plus,other_dwelling,avg_household_size, married,not_married,single_parents,one_person_household,two_plus_person_household,low_income_percent,non_immigrants,immigrants,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,total_work_activity,unemployed,employed,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,population for 100 years and over,household_income,income_under_5000,income_between_5000_9000,income_between_10000_14999,"$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$15,000 to $19,999","$20,000 to $29,000","$30,000 to $39,000","$40,000 to $49,000",total_highest_education,no_certificate_diploma_degree,highschool_diploma,trades_certificate,non-university_certificate,university_certificate,bachelors_or_above,bachelors,above_bachelors
rosedalemoore park,2450,4990,2595,2.05,10105,8210,595,4160,415,10.2,"14,490","5,495","5,570","4,485","9,960",105,"9,570",480,"18,005","5,925","12,080","3,430",300,"3,530","1,200",325,210,380370,450415,490515,485545,540620,620705,585670,525615,530670,680735,765855,720810,670845,665830,565705,400520,305395,200260,65155,2035,05,"10,055",305,120,185,525,510,505,440,440,250,255260,215225,275255,18000,1045,2870,210125,1795,520,11425,6010,900
rouge,7625,1015,4755,3.44,21595,16945,2470,1630,300,9.5,"20,025","25,575","11,195","2,205","12,660",730,"11,910","1,475","38,125","13,090","25,025","13,665","1,510","5,935",220,20,160,12001160,14451370,14051360,16651600,18251610,15651610,14201505,13151465,12751545,14451695,16951980,16801865,15151620,12501320,785870,470540,280380,130290,60150,1055,100,"13,400",95,80,130,970,950,930,940,845,205,245325,325410,405455,38125,6580,11740,1020635,7740,1210,9195,6765,640
runnymedebloor west village,2025,0,1795,2.64,5035,2990,395,840,145,6.9,"7,585","2,335","3,000",815,"3,810",0,"3,710",110,"8,020","2,000","6,020","2,195",95,"1,960",255,265,30,380365,330375,295295,235250,210260,220255,325370,405465,440460,410440,400420,330350,240290,220230,125145,75100,6585,5070,1550,105,00,"3,820",45,30,45,195,190,195,170,170,70,9585,95110,95100,8020,960,1385,110105,1140,130,4165,2455,195
rustic,1150,1965,535,2.67,3395,4610,1155,890,125,31.7,"4,495","5,105","1,390","2,265","3,380",270,"2,895",745,"7,825","3,595","4,230","1,905",200,"1,370",90,0,25,300320,325330,340325,380345,340330,280310,220335,210330,240340,245410,335370,265365,215280,165225,165200,125250,160215,100130,4065,1015,00,"3,650",45,90,170,295,210,195,175,120,325,275250,235240,200165,7820,2550,2420,315275,1285,180,800,585,100
scarborough village,1105,3980,845,2.77,6435,6925,1315,1530,240,32.4,"7,040","8,975","2,685","3,235","5,170",750,"4,605","1,320","13,080","5,680","7,385","3,065",350,"2,570",210,0,50,565495,605590,550545,585545,645585,490555,440580,460605,520600,535610,630625,520610,440520,320360,205245,155205,110195,95150,5080,1020,50,"5,920",105,180,305,570,420,355,300,220,330,325345,370345,325355,13075,2955,3785,355265,2305,460,2935,1810,190
south parkdale,200,7170,4015,1.81,7170,12560,1140,5835,1135,30.5,"11,025","8,920","1,520","9,865","10,485",915,"9,570","1,810","18,590","5,430","13,165","2,610",225,"5,785","1,305","1,145",120,455385,325345,330290,360360,705835,14001570,14751410,1045960,850800,810680,780680,745640,585515,450450,265280,185255,125185,75150,1565,535,50,"11,385",385,405,860,925,760,600,495,390,"1,075",760705,655660,615580,18585,3050,4520,535495,3630,445,5900,4210,320
south riverdale,865,2175,9030,2.24,12215,11690,1375,4335,785,18.7,"18,260","8,210","7,230","4,840","11,785",285,"11,370",725,"23,145","6,500","16,640","5,000",655,"5,315","1,425","1,145",200,900800,685645,450490,515490,740705,10451180,15101570,13851475,12851205,11151115,11051025,900825,695685,615565,355330,245270,190240,140190,5075,1060,00,"12,070",260,320,515,705,735,630,620,560,660,450395,430435,370350,23150,4050,4820,360250,3700,535,9420,6305,420
standrewwindfields,3245,1745,1440,2.75,8870,6300,870,1310,205,15.9,"8,355","8,835","4,275","2,140","6,260",175,"5,995",440,"15,050","5,355","9,690","4,555",245,"1,975",270,20,80,330280,500460,545535,695580,670600,490535,350435,360490,480640,655850,720780,660720,600640,520570,385415,250310,170205,125165,4065,1015,00,"6,425",165,85,120,355,320,350,290,275,150,175190,165210,165175,15040,1440,3135,145135,1815,595,7770,4200,555
steeles,3725,2715,1380,3.11,12485,8985,1345,1255,220,21,"5,820","17,440","6,560","1,260","7,305",510,"6,865",950,"21,120","9,740","11,375","5,860",975,"2,195",245,20,60,535500,580560,485490,620605,775685,905870,715750,555610,640805,825955,935980,805985,805930,790945,560625,465550,410450,220365,105165,1050,150,"7,820",195,115,150,565,605,515,475,430,370,315405,410395,300315,21125,4975,6235,395210,2865,660,5810,4320,300
stonegatequeensway,5790,1035,3550,2.4,12100,8880,1175,3015,380,11.6,"15,905","8,635","6,710","3,665","10,135",245,"9,615",770,"20,835","6,280","14,565","7,090",440,"3,505",380,235,115,710670,770680,655560,640585,640620,675620,745785,835985,970985,960985,10551045,9651040,780865,640650,395415,330420,230360,150270,100175,1035,50,"10,380",180,120,220,670,640,570,480,450,325,400385,385330,375375,20840,2720,4565,505360,3630,565,8490,5335,725
